player,birth_state
Billy Paultz,New Jersey
Billy Reid,New York
Billy Thomas,Louisiana
Billy Thompson,New Jersey
Bimbo Coles,Virginia
Bird Averitt,Kentucky
Bismack Biyombo,Democratic Republic of the Congo
Bison Dele,California
Blackie Towery,Kentucky
Blair Rasmussen,Washington
Blake Ahearn,Missouri
Blake Griffin,Oklahoma
Blue Edwards,District of Columbia
Bo Erias,New York
Bo Kimble,Pennsylvania
Bo Lamar,Ohio
Bo Outlaw,Texas
Bob Anderegg,Wisconsin
Bob Armstrong,Michigan
Bob Arnzen,Kentucky
Bob Bigelow,Massachusetts
Bob Boozer,Nebraska
Bob Brown,Ohio
Bob Burrow,Arkansas
Bob Carrington,Massachusetts
Bob Cousy*,New York
Bob Dandridge,Virginia
Bob Davies*,Pennsylvania
Bob Doll,Colorado
Bob Elliott,Michigan
Bob Evans,Indiana
Bob Feerick,California
Bob Ferry,Missouri
Bob Gross,California
Bob Hansen,Iowa
Bob Harris,Tennessee
Bob Harrison,Tennessee
Bob Hopkins,Louisiana
Bob Houbregs*,Canada
Bob Kauffman,New York
Bob Kinney,Kansas
Bob Lanier*,New York
Bob Love,Louisiana
Bob Martin,Minnesota
Bob McAdoo*,North Carolina
Bob McCann,New Jersey
Bob McNeill,Pennsylvania
Bob Miller,Kentucky
Bob Nash,Connecticut
Bob Peterson,California
Bob Pettit*,Louisiana
Bob Portman,California
Bob Quick,Mississippi
Bob Rule,California
Bob Santini,New York
Bob Sura,Pennsylvania
Bob Thornton,California
Bob Tough,New York
Bob Verga,New Jersey
Bob Warlick,North Carolina
Bob Weiss,Pennsylvania
Bob Wilkerson,Indiana
Boban Marjanovic,Serbia
Bobby Brown,Ohio
Bobby Cattage,Alabama
Bobby Hurley,New Jersey
Bobby Jackson,North Carolina
Bobby Jones,North Carolina
Bobby Phills,Louisiana
Bobby Portis,Arkansas
Bobby Simmons,Illinois
Bobby Wanzer*,New York
Bobby Watson,Kentucky
Bojan Bogdanovic,Serbia
Bones McKinney,North Carolina
Boniface N'Dong,Senegal
Bonzi Wells,Indiana
Boris Diaw,France
Bostjan Nachbar,Slovenia
Bracey Wright,California
Brad Branson,Illinois
Brad Daugherty,North Carolina
Brad Davis,Pennsylvania
Brad Holland,Montana
Brad Lohaus,Minnesota
Brad Miller,Indiana
Brad Sellers,Ohio
Brad Wright,California
Bradley Beal,Missouri
Brady Walker,Utah
Brandan Wright,California
Branden Dawson,Indiana
Brandin Knight,New Jersey
Brandon Armstrong,California
Brandon Bass,Louisiana
Brandon Davies,Pennsylvania
Brandon Hunter,Ohio
Brandon Ingram,North Carolina
Brandon Jennings,California
Brandon Knight,New Jersey
Brandon Roy,Washington
Brandon Rush,Missouri
Brandon Williams,Louisiana
Brant Weidner,Pennsylvania
Brendan Haywood,New York
Brendan McCann,New York
