Player,birth_state
Jeff Mullins,New York
Cotton Nash,New Jersey
Willis Reed*,Louisiana
Paul Silas,Arkansas
John Thompson*,District of Columbia
George Wilson,Mississippi
Rick Barry*,New Jersey
Jesse Branson,North Carolina
Bill Buntin,Michigan
Barry Clemens,Ohio
Billy Cunningham*,New York
Keith Erickson,California
John Fairchild,California
Will Frazier,Louisiana
Gail Goodrich*,California
Fred Hetzel,District of Columbia
Jon McGlocklin,Indiana
Thales McReynolds,Alabama
Ron Reed,Indiana
Jerry Sloan*,Illinois
Willie Somerset,Pennsylvania
Dave Stallworth,Texas
Joe Strawder,Florida
Bob Warlick,North Carolina
Jim Washington,Pennsylvania
Bob Weiss,Pennsylvania
Henry Akin,Michigan
Johnny Austin,District of Columbia
Jim Barnett,Arkansas
Dave Bing*,District of Columbia
John Block,California
Nate Bowman,Texas
Jerry Chambers,District of Columbia
Archie Clark,Arkansas
Freddie Crawford,New York
Dave Deutsch,New York
Hank Finkel,New Jersey
Lou Hudson,North Carolina
Neil Johnson,Ohio
Toby Kimball,Massachusetts
Clyde Lee,Tennessee
Bob Love,Louisiana
Jack Marin,Pennsylvania
Bill Melchionni,Pennsylvania
Wayne Molis,Illinois
Flynn Robinson,Illinois
Cazzie Russell,Illinois
Dave Schellhase,Indiana
Dick Snyder,Ohio
Jim Ware,Mississippi
Walt Wesley,Florida
Bill Bradley*,Missouri
Jim Caldwell,North Carolina
George Carter,New York
Jim Davis,Indiana
Sonny Dove,New York
Jim Fox,Georgia
Walt Frazier*,Georgia
Dennis Hamilton,California
Clem Haskins,Kentucky
Al Jackson,Ohio
Phil Jackson*,Montana
Johnny Jones,District of Columbia
Dave Lattin,Texas
George Lehmann,New Jersey
Paul Long,Kentucky
Ed Manning,Mississippi
Stan McKenzie,Florida
Jay Miller,Missouri
Earl Monroe*,Pennsylvania
Pat Riley*,New York
Bob Rule,California
Al Tucker,Ohio
Jimmy Walker,Virginia
John Wetzel,Virginia
Ken Wilburn,Michigan
Art Williams,Texas
Tom Workman,Washington
Zaid Abdul-Aziz,New York
Rick Adelman,California
Tom Boerwinkle,Ohio
Don Chaney,Louisiana
Dick Cunningham,Ohio
Fred Foster,Ohio
Gary Gregor,West Virginia
Shaler Halimon,Florida
Elvin Hayes*,Louisiana
Bill Hewitt,Massachusetts
Bill Hosket,Ohio
