Player,birth_state
Hawkeye Whitney,New York
Michael Wiley,California
James Wilkes,California
Jeff Wilkins,Illinois
Mike Woodson,Indiana
Sam Worthen,New York
Mark Aguirre,Illinois
Danny Ainge,Oregon
Carl Bailey,Alabama
Gene Banks,Pennsylvania
Rolando Blackman,Panama
Ray Blume,Georgia
Alex Bradley,Mississippi
Charles Bradley,Maryland
Brad Branson,Illinois
Jim Brogan,Pennsylvania
Roger Burkman,Indiana
David Burns,Texas
Bobby Cattage,Alabama
Tom Chambers,Utah
Joe Cooper,Texas
Charles Davis,New York
Kenny Dennard,North Carolina
Mickey Dillard,Florida
John Douglas,Alabama
Craig Dykema,California
Franklin Edwards,New York
Petur Gudmundsson,Iceland
Glenn Hagan,Florida
Steve Hayes,Idaho
Tracy Jackson,Maryland
Clay Johnson,Florida
Frank Johnson,Florida
Steve Johnson,Pennsylvania
Albert King,New York
Jeff Lamp,Minnesota
Rock Lee,Massachusetts
Alton Lister,Texas
Lewis Lloyd,Pennsylvania
Kevin Loder,Michigan
Rudy Macklin,Kentucky
John McCullough,Ohio
Hank McDowell,Tennessee
Mike McGee,Texas
Kevin McKenna,Minnesota
Larry Nance,South Carolina
Kurt Nimphius,Wisconsin
Mark Radford,Washington
Ed Rains,Florida
Kurt Rambis,California
Jeff Ruland,New York
Danny Schayes,New York
Jim Smith,Ohio
Larry Spriggs,Maryland
Isiah Thomas*,Illinois
Ray Tolbert,Indiana
Kelly Tripucka,New Jersey
Elston Turner,Tennessee
Darnell Valentine,Illinois
Pete Verhoeven,California
Jay Vincent,Michigan
Danny Vranes,Utah
Buck Williams,North Carolina
Herb Williams,Ohio
Garry Witts,New Jersey
Al Wood,Georgia
Howard Wood,New York
Orlando Woolridge,Louisiana
Rich Yonakor,Ohio
Dwight Anderson,Ohio
Richard Anderson,California
John Bagley,Connecticut
Dave Batton,Maryland
Lester Conner,Tennessee
Chubby Cox,Pennsylvania
Terry Cummings,Illinois
Quintin Dailey,Maryland
Mark Eaton,California
Jerry Eaves,Kentucky
Keith Edmonson,Mississippi
Chris Engler,Minnesota
Bruce Flowers,New York
Sleepy Floyd,North Carolina
Bill Garnett,Illinois
John Greig,California
Scott Hastings,Kansas
Rod Higgins,Louisiana
Craig Hodges,Illinois
Marc Iavaroni,New York
Jim Johnstone,Connecticut
Hutch Jones,New York
Clark Kellogg,Ohio
Joe Kopicki,Michigan
Fat Lever,Arkansas
Cliff Levingston,California
Steve Lingenfelter,Wisconsin
Dave Magley,Indiana
Mark McNamara,California
Guy Morgan,Virginia
Ed Nealy,Kansas
Chuck Nevitt,Colorado
Audie Norris,Mississippi
Eddie Phillips,Alabama
Ricky Pierce,Texas
Charles Pittman,North Carolina
Paul Pressey,Virginia
Oliver Robinson,Alabama
Walker Russell,Michigan
Mike Sanders,Louisiana
Russ Schoene,Illinois
Ed Sherod,Virginia
Jose Slaughter,California
Brook Steppe,North Carolina
Jeff Taylor,Arkansas
Vince Taylor,Kentucky
Terry Teagle,Texas
David Thirdkill,Missouri
Corny Thompson,Connecticut
LaSalle Thompson,Ohio
Darren Tillis,Texas
Linton Townes,Virginia
Trent Tucker,North Carolina
Bryan Warrick,Washington
Rory White,Alabama
Dominique Wilkins*,France
Rickey Williams,New York
Rob Williams,West Virginia
James Worthy*,North Carolina
Jim Zoet,Canada
Ken Austin,California
Thurl Bailey,District of Columbia
Randy Breuer,Minnesota
Wallace Bryant,Spain
Howard Carter,Louisiana
Carlos Clark,Tennessee
Leroy Combs,Oklahoma
Russell Cross,Illinois
Darren Daye,Iowa
Clyde Drexler*,Louisiana
Craig Ehlo,Texas
Dale Ellis,Georgia
Rod Foster,Alabama
John Garris,Connecticut
Mike Gibson,South Carolina
Stewart Granger,Canada
Sidney Green,New York
Bob Hansen,Iowa
Derek Harper,Georgia
Roy Hinson,New Jersey
Charles Jones,Arkansas
Mark Jones,Arkansas
Greg Kite,Texas
Bruce Kuczenski,Connecticut
Darrell Lockhart,Georgia
Sidney Lowe,District of Columbia
Jeff Malone,Alabama
Pace Mannion,Utah
Rodney McCray,New York
Scooter McCray,New York
Larry Micheaux,Texas
Bob Miller,Kentucky
John Paxson,Ohio
John Pinone,Connecticut
Tom Piotrowski,Pennsylvania
Leo Rautins,Canada
Doc Rivers,Illinois
Fred Roberts,Utah
Ralph Sampson*,Virginia
Byron Scott,Utah
Steve Stipanovich,Missouri
Jon Sundvold,South Dakota
Dane Suttle,California
Jim Thomas,Florida
Paul Thompson,Tennessee
Sedale Threatt,Georgia
Granville Waiters,Ohio
Darrell Walker,Illinois
Brant Weidner,Pennsylvania
Mark West,Virginia
Ennis Whatley,Alabama
Mitchell Wiggins,North Carolina
Kevin Williams,New York
Michael Wilson,Tennessee
Randy Wittman,Indiana
Chuck Aleksinas,Connecticut
Ron Anderson,Illinois
Ken Bannister,Maryland
Charles Barkley*,Alabama
Cory Blackwell,Illinois
Sam Bowie,Pennsylvania
Frank Brickowski,New York
Tony Brown,Illinois
Steve Burtt,New York
Michael Cage,Arkansas
Tony Campbell,New Jersey
Rick Carlisle,New York
Antoine Carr,Oklahoma
Ron Cavenall,Texas
Steve Colter,Arizona
Devin Durrant,Utah
Kenton Edelin,Germany
Kenny Fields,Iowa
Vern Fleming,New York
Lancaster Gordon,Mississippi
Butch Graves,New York
Stuart Gray,Panama
Mike Holton,Washington
Jay Humphries,California
Ralph Jackson,California
Earl Jones,West Virginia
Ozell Jones,California
Michael Jordan*,New York
Jerome Kersey,Virginia
Tim McCormick,Michigan
Jay Murphy,Connecticut
Hakeem Olajuwon*,Nigeria
Sam Perkins,New York
Jim Petersen,Minnesota
Gary Plummer,Michigan
David Pope,Virginia
Alvin Robertson,Ohio
Wayne Sappleton,Jamaica
Tom Scheffler,Michigan
John Schweitz,New York
Tom Sewell,Florida
Charlie Sitton,Oregon
Tom Sluby,District of Columbia
Terence Stansbury,Delaware
John Stockton*,Washington
Peter Thibeaux,California
Bernard Thompson,Arizona
Otis Thorpe,Florida
Jeff Turner,Maine
Melvin Turpin,Kentucky
Willie White,Tennessee
Dale Wilkinson,Idaho
Guy Williams,New York
Kevin Willis,New York
Othell Wilson,Virginia
Leon Wood,South Carolina
Danny Young,North Carolina
Michael Young,Texas
Michael Adams,Connecticut
John Battle,District of Columbia
Benoit Benjamin,Louisiana
Uwe Blab,Germany
Manute Bol,South Sudan
Mike Brittain,Florida
Terry Catledge,Mississippi
Lorenzo Charles,New York
Fred Cofield,Michigan
David Cooke,California
Tyrone Corbin,South Carolina
Ron Crevier,Canada
Jeff Cross,Illinois
Joe Dumars*,Louisiana
Patrick Ewing*,Jamaica
Georgi Glouchkov,Bulgaria
Ken Green,Georgia
Kenny Green,Georgia
Claude Gregory,District of Columbia
Steve Harris,Missouri
Jerome Henderson,California
Carl Henry,Oklahoma
Ken Johnson,Alabama
Yvon Joseph,Haiti
Harold Keeling,Louisiana
Joe Kleine,Colorado
Jon Koncak,Iowa
Keith Lee,Arkansas
Karl Malone*,Louisiana
Bill Martin,District of Columbia
Brian Martin,Arkansas
Dwayne McClain,Massachusetts
Xavier McDaniel,South Carolina
Ben McDonald,California
Chris McNealy,California
Dirk Minniefield,Kentucky
Perry Moss,Arizona
Chris Mullin*,New York
Charles Oakley,Ohio
Michael Phelps,Mississippi
Ed Pinckney,New York
Terry Porter,Wisconsin
Blair Rasmussen,Washington
Jerry Reynolds,New York
Derrick Rowland,New York
Detlef Schrempf,Germany
Carey Scurry,New York
Mike Smrek,Canada
Alex Stivrins,Nebraska
Greg Stokes,Connecticut
Bob Thornton,California
Wayman Tisdale,Oklahoma
Sedric Toney,Mississippi
Nick Vanos,California
Sam Vincent,Michigan
Spud Webb,Texas
Bill Wennington,Canada
Gerald Wilkins,Georgia
Pete Williams,California
Voise Winters,Illinois
Rafael Addison,New Jersey
Mark Alarie,Arizona
William Bedford,Tennessee
Walter Berry,New York
Joe Binion,New York
Adrian Branch,District of Columbia
Mike Brown,New Jersey
Ben Coleman,Minnesota
Dell Curry,Virginia
Brad Daugherty,North Carolina
Johnny Dawkins,District of Columbia
Bruce Douglas,Illinois
Greg Dreiling,Kansas
Kevin Duckworth,Illinois
Dave Feitl,Pennsylvania
Kenny Gattison,North Carolina
Grant Gondrezick,Colorado
Ron Harper,Ohio
Cedric Henderson,Georgia
Kevin Henderson,Maryland
Conner Henry,California
Jeff Hornacek,Illinois
Myron Jackson,Arkansas
Buck Johnson,Alabama
Steffond Johnson,Pennsylvania
Anthony Jones,District of Columbia
Tim Kempton,New York
Curtis Kitchen,Florida
Larry Krystkowiak,Montana
Jim Lampley,Pennsylvania
Fernando Martin,Spain
Maurice Martin,New York
Forrest McKenzie,New Jersey
Nate McMillan,North Carolina
Cozell McQueen,France
Pete Myers,Alabama
Johnny Newman,Virginia
Dennis Nutt,Arkansas
Chuck Person,Alabama
Dwayne Polee,California
Harold Pressley,New York
Mark Price,Oklahoma
Dennis Rodman*,New Jersey
Johnny Rogers,California
Ron Rowan,Pennsylvania
John Salley,New York
Brad Sellers,Ohio
McKinley Singleton,Tennessee
Scott Skiles,Indiana
Clinton Smith,Ohio
Keith Smith,New York
Otis Smith,Florida
Roy Tarpley,New York
Billy Thompson,New Jersey
Andre Turner,Tennessee
Kenny Walker,Georgia
Chris Washburn,North Carolina
Pearl Washington,New York
John Williams,Connecticut
David Wingate,Maryland
Brad Wright,California
Perry Young,Maryland
Mark Acres,California
Steve Alford,Indiana
Greg Anderson,Texas
Joe Arlauckas,New York
Vincent Askew,Tennessee
Nate Blackwell,Pennsylvania
Muggsy Bogues,Maryland
Norris Coleman,Florida
Dallas Comegys,Pennsylvania
Winston Crite,California
Billy Donovan,New York
Chris Dudley,Pennsylvania
Jim Farmer,Alabama
Tellis Frank,Indiana
Kevin Gamble,Illinois
Winston Garland,Indiana
Armen Gilliam,Pennsylvania
Horace Grant,Georgia
Dave Henderson,North Carolina
Dave Hoppen,Nebraska
Dennis Hopson,Ohio
Eddie Hughes,Mississippi
Mark Jackson,New York
Michael Jackson,District of Columbia
Kannard Johnson,Ohio
Kevin Johnson,Alabama
Bart Kofoed,Nebraska
Ralph Lewis,Pennsylvania
Reggie Lewis,Maryland
Brad Lohaus,Minnesota
Derrick McKey,Mississippi
Reggie Miller*,California
Andre Moore,Illinois
Ron Moore,New York
Ronnie Murphy,Delaware
Tod Murphy,California
Martin Nessley,Ohio
Ken Norman,Illinois
Scottie Pippen*,Arkansas
Olden Polynice,Haiti
Richard Rellford,Florida
Scott Roth,Ohio
Brian Rowsom,New Jersey
Kenny Smith,New York
John Stroeder,Washington
Mark Wade,California
Milt Wagner,New Jersey
Jamie Waller,Virginia
Duane Washington,Germany
Chris Welp,Germany
Clinton Wheeler,New Jersey
Eric White,California
Tony White,North Carolina
Reggie Williams,Maryland
Nikita Wilson,Louisiana
Ricky Wilson,Kentucky
Rickie Winslow,Texas
Joe Wolf,Wisconsin
Phil Zevenbergen,Washington
Randy Allen,Florida
Michael Anderson,Pennsylvania
Willie Anderson,South Carolina
Ricky Berry,Michigan
Anthony Bowie,Oklahoma
Scott Brooks,California
Mark Bryant,New Jersey
Greg Butler,California
Mike Champion,Washington
Rex Chapman,Kentucky
Derrick Chievous,New York
Mark Davis,Virginia
Fennis Dembo,Alabama
Ledell Eackles,Louisiana
Kevin Edwards,Ohio
Wayne Englestad,California
Rolando Ferreira,Brazil
Duane Ferrell,Maryland
Anthony Frederick,California
Corey Gaines,California
Tom Garrick,Rhode Island
Ben Gillery,Michigan
Orlando Graham,Alabama
Ron Grandison,California
Gary Grant,Ohio
Harvey Grant,Georgia
Sylvester Gray,Tennessee
Jeff Grayer,Michigan
Jack Haley,California
Hersey Hawkins,Illinois
Tito Horford,Dominican Republic
Avery Johnson,Louisiana
Bill Jones,Michigan
Shelton Jones,New York
Steve Kerr,Lebanon
Randolph Keys,Mississippi
Jerome Lane,Ohio
Andrew Lang,Arkansas
Eric Leckner,California
Jim Les,Illinois
Rob Lock,California
Grant Long,Michigan
Dan Majerle,Michigan
Danny Manning,Mississippi
Vernon Maxwell,Florida
Todd Mitchell,Ohio
Chris Morris,Georgia
Richard Morton,California
Craig Neal,Indiana
Jose Ortiz,Puerto Rico
Will Perdue,Florida
Tim Perry,New Jersey
Dave Popson,Pennsylvania
Dominic Pressley,District of Columbia
Mitch Richmond*,Florida
Ramon Rivas,Puerto Rico
David Rivers,New Jersey
Rob Rose,New York
Jim Rowinski,New York
Rony Seikaly,Lebanon
Charles Shackleford,North Carolina
John Shasky,Michigan
Brian Shaw,California
Keith Smart,Louisiana
Charles Smith,Connecticut
Rik Smits,Netherlands
John Starks,Oklahoma
Everette Stephens,Illinois
Rod Strickland,Florida
Barry Sumpter,Illinois
Anthony Taylor,California
Tom Tolbert,California
Kelvin Upshaw,Illinois
Morlon Wiley,Louisiana
Micheal Williams,Washington
David Wood,Washington
Nick Anderson,Illinois
Michael Ansley,Alabama
Dana Barros,Massachusetts
Kenny Battle,Illinois
Winston Bennett,Kentucky
Mookie Blaylock,Texas
Chucky Brown,New York
Raymond Brown,Georgia
Stanley Brundy,Louisiana
Torgeir Bryn,Norway
Steve Bucknall,United Kingdom
Adrian Caldwell,Texas
Lanard Copeland,Georgia
Terry Davis,Virginia
Byron Dinkins,North Carolina
Vlade Divac,Serbia
Sherman Douglas,District of Columbia
Terry Dozier,Maryland
Blue Edwards,District of Columbia
Jay Edwards,Washington
Sean Elliott,Arizona
Pervis Ellison,Georgia
Derrick Gervin,Michigan
Greg Grant,New Jersey
Scott Haffner,Indiana
Tom Hammonds,Florida
Tim Hardaway,Illinois
Mike Higgins,Nebraska
Ed Horton,Illinois
Byron Irvin,Illinois
Jaren Jackson,Louisiana
Eric Johnson,New York
Nate Johnston,Alabama
Shawn Kemp,Indiana
Stan Kimbrough,Alabama
Stacey King,Oklahoma
Frank Kornet,Kentucky
Jeff Lebo,Pennsylvania
Tim Legler,District of Columbia
Gary Leonard,Illinois
Clifford Lett,Florida
Todd Lichti,California
Roy Marble,Michigan
Sarunas Marciulionis*,Lithuania
Jeff Martin,Arkansas
Anthony Mason,Florida
Bob McCann,New Jersey
Mel McCants,Illinois
George McCloud,Florida
Carlton McKinney,California
Scott Meents,Illinois
Sam Mitchell,Georgia
Mike Morrison,District of Columbia
John Morton,New York
Dyron Nix,Mississippi
Zarko Paspalj,Montenegro
Kenny Payne,Mississippi
Drazen Petrovic*,Croatia
Brian Quinnett,Washington
Glen Rice,Arkansas
Pooh Richardson,Pennsylvania
Clifford Robinson,California
David Robinson*,Florida
Doug Roth,Tennessee
Donald Royal,Louisiana
Delaney Rudd,North Carolina
Jeff Sanders,Georgia
Dexter Shouse,Indiana
Michael Smith,New York
Jay Taylor,Illinois
Leonard Taylor,California
Alexander Volkov,Russia
Doug West,Pennsylvania
Randy White,Louisiana
Mike Williams,Washington
Haywoode Workman,North Carolina
Alaa Abdelnaby,Egypt
Mahmoud Abdul-Rauf,Delaware
Keith Askins,Alabama
Milos Babic,Serbia
Cedric Ball,Massachusetts
Lance Blanks,Texas
Anthony Bonner,Missouri
Dee Brown,Florida
Jud Buechler,California
Matt Bullard,Iowa
Willie Burton,Michigan
Rick Calloway,Ohio
Elden Campbell,California
Duane Causwell,New York
Cedric Ceballos,Hawaii
Richard Coffey,North Carolina
Derrick Coleman,Alabama
Bimbo Coles,Virginia
Anthony Cook,California
Tony Dawson,North Carolina
Mario Elie,New York
Danny Ferry,Maryland
Greg Foster,California
Tate George,New Jersey
Kendall Gill,Illinois
Gerald Glass,Mississippi
Dan Godfread,Indiana
Jim Grandholm,Indiana
Tony Harris,Louisiana
Steve Henson,Kansas
Sean Higgins,California
Tyrone Hill,Ohio
Dave Jamerson,West Virginia
Henry James,Alabama
Les Jepsen,North Dakota
Alec Kessler,Minnesota
Bo Kimble,Pennsylvania
Negele Knight,Michigan
Kurk Lee,Maryland
Marcus Liberty,Illinois
Ian Lockhart,Bahamas
Tony Massenburg,Virginia
Travis Mays,Florida
Terry Mills,Michigan
Chris Munk,California
Jerrod Mustaf,North Carolina
Dan O'Sullivan,New York
Alan Ogg,Ohio
Brian Oliver,Illinois
Gerald Paddio,Louisiana
Walter Palmer,New York
Gary Payton*,California
Kevin Pritchard,Indiana
Larry Robinson,Louisiana
Rumeal Robinson,Jamaica
Steve Scheffler,Michigan
Dwayne Schintzius,Florida
Dennis Scott,Maryland
Lionel Simmons,Pennsylvania
Felton Spencer,Kentucky
Irving Thomas,New York
Andy Toolson,Illinois
Loy Vaught,Michigan
Stojko Vrankovic,Croatia
Jayson Williams,South Carolina
Kenny Williams,New York
Scott Williams,California
Trevor Wilson,California
Kennard Winchester,Maryland
Howard Wright,Kentucky
Victor Alexander,Michigan
Kenny Anderson,New York
Greg Anthony,Nevada
Stacey Augmon,California
Isaac Austin,California
Steve Bardo,Kentucky
David Benoit,Louisiana
Terrell Brandon,Oregon
Kevin Brooks,South Carolina
Myron Brown,Pennsylvania
Randy Brown,Georgia
Demetrius Calip,Michigan
Pete Chilcutt,South Carolina
Marty Conlon,New York
Tom Copa,Minnesota
Chris Corchiani,Florida
Corey Crowder,Georgia
Dale Davis,Georgia
Bison Dele,California
Patrick Eddie,Wisconsin
LeRon Ellis,New York
Rick Fox,Canada
Chris Gatling,New Jersey
Paul Graham,Pennsylvania
Sean Green,California
Carl Herrera,Trinidad and Tobago
Donald Hodge,District of Columbia
Brian Howard,North Carolina
Cedric Hunter,Texas
Mike Iuzzolino,Pennsylvania
Rich King,Nebraska
Doug Lee,Illinois
Luc Longley,Australia
Kevin Lynch,Minnesota
Mark Macon,Michigan
Tharon Mayes,Connecticut
Rodney Monroe,Maryland
Tracy Moore,Oklahoma
Eric Murdock,New Jersey
Dikembe Mutombo*,Democratic Republic of the Congo
Jimmy Oliver,Arkansas
Billy Owens,Pennsylvania
Keith Owens,California
Robert Pack,Louisiana
Elliot Perry,Tennessee
Bobby Phills,Louisiana
Mark Randall,Minnesota
Stanley Roberts,South Carolina
LaBradford Smith,Mississippi
Steve Smith,Michigan
Larry Stewart,Pennsylvania
Derek Strong,California
Lamont Strothers,Virginia
Greg Sutton,California
Carl Thomas,Ohio
Charles Thomas,Ohio
Stephen Thompson,California
John Turner,District of Columbia
Joao Vianna,Brazil
Eric Anderson,Illinois
Anthony Avent,North Carolina
Jon Barry,California
Tony Bennett,Wisconsin
Alex Blackwell,New Jersey
Ricky Blanton,Florida
Walter Bond,Illinois
Dexter Cambridge,Bahamas
Doug Christie,Washington
Duane Cooper,Michigan
Joe Courtney,Mississippi
John Crotty,New Jersey
Radisav Curcic,Serbia
Lloyd Daniels,New York
Hubert Davis,North Carolina
Todd Day,Illinois
Pat Durham,Texas
LaPhonso Ellis,Illinois
Matt Geiger,Massachusetts
Litterial Green,Mississippi
Tom Gugliotta,New York
Jay Guidinger,Wisconsin
Robert Horry,Alabama
Byron Houston,Kansas
Stephen Howard,Texas
Jim Jackson,Ohio
Keith Jennings,Virginia
Dave Johnson,Louisiana
Thomas Jordan,Maryland
Adam Keefe,California
Christian Laettner,New York
Sam Mack,Illinois
Don MacLean,California
Marlon Maxey,Illinois
Lee Mayberry,Oklahoma
Oliver Miller,Texas
Harold Miner,California
Isaiah Morris,Virginia
Alonzo Mourning*,Virginia
Tracy Murray,California
Melvin Newbern,Ohio
Shaquille O'Neal*,New Jersey
Matt Othick,New Mexico
Doug Overton,Pennsylvania
Anthony Peeler,Missouri
Brent Price,Oklahoma
Anthony Pullard,Louisiana
Sean Rooks,New York
Malik Sealy,New York
Chris Smith,Connecticut
Reggie Smith,California
Andre Spencer,California
Elmore Spencer,Georgia
Latrell Sprewell,Wisconsin
Barry Stevens,Michigan
Bryant Stith,Virginia
Gundars Vetra,Latvia
Clarence Weatherspoon,Mississippi
Marcus Webb,Alabama
Robert Werdann,New York
Corey Williams,Georgia
Lorenzo Williams,Florida
Randy Woods,Pennsylvania
Gary Alexander,Florida
Vin Baker,Florida
Corie Blount,California
Shawn Bradley,Germany
Evers Burns,Maryland
Scott Burrell,Connecticut
Mitchell Butler,Tennessee
Sam Cassell,Maryland
Calbert Cheaney,Indiana
Michael Curry,Alabama
Antonio Davis,California
Brian Davis,Pennsylvania
Terry Dehere,New York
Dell Demps,California
Acie Earl,Illinois
Bill Edwards,Ohio
Doug Edwards,Florida
Harold Ellis,Georgia
Alphonso Ford,Mississippi
Chad Gallagher,Illinois
Andrew Gaze,Australia
Ricky Grace,Texas
Greg Graham,Indiana
Josh Grant,Utah
Andres Guibert,Cuba
Geert Hammink,Netherlands
Anfernee Hardaway,Tennessee
Lucious Harris,California
Antonio Harvey,Mississippi
Scott Haskin,California
Skeeter Henry,Texas
Allan Houston,Kentucky
Lindsey Hunter,Mississippi
Bobby Hurley,New Jersey
Stanley Jackson,Alabama
Chris Jent,California
Ervin Johnson,New York
Popeye Jones,Tennessee
Adonis Jordan,New York
Reggie Jordan,Illinois
Warren Kidd,Alabama
Chris King,North Carolina
Toni Kukoc,Croatia
George Lynch,Virginia
Malcolm Mackey,Tennessee
Gerald Madkins,California
Bob Martin,Minnesota
Jamal Mashburn,New York
Darnell Mee,Tennessee
Chris Mills,California
Darren Morningstar,Washington
Gheorghe Muresan,Romania
Bo Outlaw,Texas
Mike Peplowski,Michigan
Richard Petruska,Slovakia
Dino Radja,Croatia
Isaiah Rider,California
Eric Riley,Ohio
James Robinson,California
Rodney Rogers,North Carolina
Bryon Russell,California
Kevin Thompson,North Carolina
Keith Tower,Montana
Rex Walters,Nebraska
Chris Webber,Michigan
Matt Wenstrom,Minnesota
David Wesley,Texas
Chris Whitney,Kentucky
Aaron Williams,Illinois
Luther Wright,New Jersey
Derrick Alston,New York
Darrell Armstrong,North Carolina
Sergei Bazarevich,Russia
Elmer Bennett,Illinois
James Blackwell,New York
Tim Breaux,Louisiana
Chris Childs,California
Bill Curley,Massachusetts
Yinka Dare,Nigeria
Tony Dumas,Illinois
Howard Eisley,Michigan
Matt Fish,Iowa
Brian Grant,Ohio
Darrin Hancock,Alabama
Jerome Harmon,Indiana
Grant Hill,Texas
Tom Hovasse,Colorado
Juwan Howard,Illinois
Askia Jones,Pennsylvania
Eddie Jones,Alabama
Jason Kidd,California
Antonio Lang,Arkansas
Ryan Lorthridge,Tennessee
Donyell Marshall,Pennsylvania
Darrick Martin,Colorado
Jim McIlvaine,Wisconsin
Aaron McKie,Pennsylvania
Anthony Miller,Michigan
Greg Minor,Georgia
Eric Mobley,New York
Eric Montross,Indiana
Dwayne Morton,Kentucky
Lamond Murray,California
Ivano Newbill,Missouri
Julius Nwosu,Nigeria
Wesley Person,Alabama
Derrick Phelps,New York
Eric Piatkowski,Ohio
Eldridge Recasner,Louisiana
Khalid Reeves,New York
Glenn Robinson,Indiana
Carlos Rogers,Michigan
Jalen Rose,Michigan
Clifford Rozier,Florida
Trevor Ruffin,New York
Dickey Simpkins,Maryland
Reggie Slater,Texas
Mark Strickland,Georgia
Aaron Swinson,Georgia
Zan Tabak,Croatia
Brooks Thompson,Texas
Anthony Tucker,District of Columbia
Fred Vinson,North Carolina
Charlie Ward,Georgia
Jamie Watson,North Carolina
Monty Williams,Virginia
Dontonio Wingfield,Georgia
Sharone Wright,Georgia
Cory Alexander,Virginia
Jerome Allen,Pennsylvania
John Amaechi,Massachusetts
Ashraf Amaya,Illinois
Brent Barry,New York
Corey Beck,Tennessee
Mario Bennett,Texas
Travis Best,Massachusetts
Melvin Booker,Mississippi
Donnie Boyce,Illinois
Marques Bragg,New Jersey
Junior Burrough,North Carolina
Jason Caffey,Alabama
Chris Carr,Missouri
Randolph Childress,District of Columbia
Robert Churchwell,Indiana
Charles Claxton,U.S. Virgin Islands
John Coker,Washington
Rastko Cvetkovic,Serbia
Sasha Danilovic,Bosnia and Herzegovina
Andrew DeClercq,Michigan
Tyus Edney,California
Vincenzo Esposito,Italy
Michael Finley,Illinois
Sherell Ford,Louisiana
Kevin Garnett,South Carolina
Anthony Goldwire,Florida
Thomas Hamilton,Illinois
Alvin Heggs,Florida
Alan Henderson,Indiana
Fred Hoiberg,Nebraska
Darryl Johnson,Louisiana
Frankie King,Georgia
Jimmy King,Oklahoma
Voshon Lenard,Michigan
Cedric Lewis,District of Columbia
Martin Lewis,Kansas
Rich Manning,Washington
Donny Marshall,Pennsylvania
Cuonzo Martin,Missouri
Clint McDaniel,Oklahoma
Antonio McDyess,Mississippi
Loren Meyer,Iowa
Lawrence Moten,District of Columbia
Todd Mundt,Iowa
Howard Nathan,Illinois
Ed O'Bannon,California
Greg Ostertag,Texas
Theo Ratliff,Alabama
Bryant Reeves,Arkansas
Don Reid,District of Columbia
Terrence Rencher,New York
Shawn Respert,Michigan
Lou Roe,New Jersey
Stefano Rusconi,Italy
Arvydas Sabonis*,Lithuania
Joe Smith,Mississippi
Eric Snow,Ohio
Jerry Stackhouse,North Carolina
Damon Stoudamire,Oregon
Bob Sura,Pennsylvania
Larry Sykes,Ohio
Kurt Thomas,Texas
Gary Trent,Ohio
Logan Vander,Wisconsin
David Vaughn,Tennessee
Rasheed Wallace,Pennsylvania
Jeff Webster,Arkansas
Dwayne Whitfield,Mississippi
Eric Williams,New Jersey
Corliss Williamson,Georgia
George Zidek,Czech Republic
Shareef Abdur-Rahim,Georgia
Ray Allen,Florida
Shandon Anderson,Georgia
Dexter Boney,Delaware
Bruce Bowen,California
Mark Bradtke,Australia
Marcus Brown,Arkansas
Kobe Bryant,Pennsylvania
Marcus Camby,Connecticut
Jimmy Carruth,Texas
Erick Dampier,Mississippi
Ben Davis,Florida
Emanual Davis,Pennsylvania
Tony Delk,Tennessee
Aleksandar Djordjevic,Serbia
Nate Driggers,Illinois
Brian Evans,Illinois
Jamie Feick,Ohio
Derek Fisher,Arkansas
Todd Fuller,Michigan
Dean Garrett,California
Reggie Geary,New Jersey
Devin Gray,Maryland
Evric Gray,California
Darvin Ham,Michigan
Steve Hamer,Tennessee
Othella Harrington,Mississippi
Michael Hawkins,Ohio
Shane Heal,Australia
Mark Hendrickson,Washington
Allen Iverson*,Virginia
Kerry Kittles,Ohio
Travis Knight,Utah
Priest Lauderdale,Illinois
Randy Livingston,Louisiana
Horacio Llamas,Mexico
Matt Maloney,Maryland
Stephon Marbury,New York
Walter McCarty,Indiana
Amal McCaskill,Illinois
Jeff McInnis,North Carolina
Martin Muursepp,Estonia
Steve Nash,South Africa
Ruben Nembhard,New York
Gaylon Nickerson,Arkansas
Moochie Norris,District of Columbia
Jermaine O'Neal,South Carolina
Ray Owes,California
Vitaly Potapenko,Ukraine
Chris Robinson,Georgia
Roy Rogers,North Carolina
Malik Rose,Pennsylvania
Kevin Salvadori,West Virginia
Jason Sasser,Texas
Brent Scott,Michigan
James Scott,New Jersey
Shawnelle Scott,New York
Stevin Smith,Michigan
Matt Steigenga,Michigan
Joe Stephens,California
Erick Strickland,Alabama
Brett Szabo,Iowa
Antoine Walker,New York
Samaki Walker,Ohio
Ben Wallace,Alabama
John Wallace,New York
Donald Whiteside,Illinois
Jerome Williams,District of Columbia
Lorenzen Wright,New Jersey
Tariq Abdul-Wahad,France
Derek Anderson,Kentucky
Chris Anstey,Australia
Drew Barry,California
Tony Battie,Texas
Chauncey Billups,Colorado
Etdrick Bohannon,California
Keith Booth,Maryland
Rick Brunson,New York
Kelvin Cato,Georgia
Keith Closs,Connecticut
James Collins,Florida
James Cotton,Montana
Chris Crawford,Michigan
Austin Croshere,California
William Cunningham,Georgia
Antonio Daniels,Ohio
Tim Duncan,U.S. Virgin Islands
Tony Farmer,California
Danny Fortson,Pennsylvania
Adonal Foyle,Saint Vincent and the Grenadines
Lawrence Funderburke,Ohio
Chris Garner,Tennessee
Kiwane Garris,Illinois
Ed Gray,California
Derek Grimm,Illinois
Reggie Hanson,North Carolina
