Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joel Przybilla,C,31,TOT,36,519,6.2,0.573,0,0.614,8.4,26.4,17.1,3.6,0.5,2.4,34.2,7.7,-0.1,0.6,0.5,0.046,-5.4,0.6,-4.8,-0.4
Anthony Randolph,C-PF,21,TOT,40,590,16.2,0.505,0.015,0.326,8,22.7,15.2,9.8,1.9,3.1,14.9,25.8,-0.2,0.6,0.5,0.038,-1.8,-0.4,-2.2,0
Ben Uzoh,PG,22,NJN,42,438,14.7,0.468,0.056,0.389,7.9,8.6,8.2,26.7,1.6,1.4,12.9,20.5,0.2,0.2,0.5,0.054,0.4,-1,-0.6,0.2
Greivis Vásquez,SG,24,MEM,70,860,9.4,0.493,0.369,0.189,1.7,8.6,5.1,25.3,1.3,0.4,21.7,16.9,-0.1,0.7,0.5,0.03,-2.4,-0.9,-3.3,-0.3
Alexis Ajinça,C,22,TOT,34,340,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0,0.4,0.4,0.052,-3.8,0,-3.8,-0.2
Devin Ebanks,SG,21,LAL,20,118,19.4,0.507,0.098,0.451,14.9,11.1,13,2.8,1.8,3.2,8.9,25.9,0.2,0.2,0.4,0.144,0.1,-2.1,-2,0
Yi Jianlian,PF,23,WAS,63,1112,10.1,0.459,0.037,0.262,7.8,18,12.7,3.5,1.2,2.2,11.6,17.4,-0.4,0.8,0.4,0.016,-3.7,-1.6,-5.3,-0.9
Acie Law,PG,26,TOT,51,726,9.9,0.502,0.194,0.344,1.9,8.2,5,16.3,2.2,0,16.7,15.7,0.1,0.3,0.4,0.027,-3.5,-0.5,-4,-0.4
Johan Petro,C,25,NJN,77,893,9.9,0.452,0.014,0.097,8,20.4,14,8.4,2,2.9,13.2,18.1,-0.7,1.1,0.4,0.024,-5.5,0.9,-4.7,-0.6
David Andersen,PF,30,TOT,40,373,10.9,0.513,0.19,0.182,6.4,21,13.6,5.6,0.7,2,14.4,19.1,-0.1,0.3,0.3,0.032,-2.8,-0.7,-3.4,-0.1
James Anderson,SF,21,SAS,26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.3,0.051,-1.1,-0.6,-1.7,0
Eric Bledsoe,PG,21,LAC,81,1841,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1
Derrick Caracter,C,22,LAL,41,215,10,0.532,0,0.348,10.3,12.2,11.3,5.1,1,3.5,20,20.2,0,0.3,0.3,0.057,-6.6,-0.5,-7.1,-0.3
Rodney Carney,SF,26,TOT,27,336,10.8,0.521,0.345,0.245,4.3,12.1,8.1,4.8,1.8,1.1,11.6,18.1,0.1,0.2,0.3,0.038,-1.5,-1.2,-2.8,-0.1
Earl Clark,SF,23,TOT,42,464,10.1,0.456,0.032,0.297,9.5,15.7,12.7,3.1,0.9,3,13.5,20.5,-0.4,0.7,0.3,0.03,-3.9,0.1,-3.8,-0.2
Wayne Ellington,SG,23,MIN,62,1181,8.6,0.488,0.305,0.134,2.4,7.9,5.1,9.4,1.2,0.2,11.2,17.1,0.1,0.1,0.3,0.01,-2.3,-1.3,-3.5,-0.5
Lazar Hayward,SF,24,MIN,42,419,10.8,0.464,0.39,0.273,5.9,12.8,9.3,10.3,1.4,1.3,9.9,19.5,0.1,0.2,0.3,0.035,-1.6,-1.3,-2.9,-0.1
Yao Ming*,C,30,HOU,5,91,19.8,0.579,0,0.432,8.7,24.9,16.8,7.3,0,6.1,13.7,24.8,0.2,0.1,0.3,0.147,0.1,1.1,1.2,0.1
Troy Murphy,PF,30,TOT,35,466,8,0.428,0.289,0.263,5.8,23.4,14.5,7.6,1.7,0.5,13.6,14.8,-0.4,0.7,0.3,0.029,-3.9,0.8,-3.1,-0.1
Sasha Pavlovi?,SG-SF,27,TOT,31,362,6,0.497,0.431,0.139,0.4,9.9,5.3,6.4,1.5,1.6,13.6,11.6,-0.2,0.5,0.3,0.042,-4.2,1.2,-3,-0.1
A.J. Price,PG,24,IND,50,795,10.7,0.454,0.466,0.253,2.3,7.8,5,22.7,1.8,0.1,13,22.7,-0.4,0.7,0.3,0.02,-1.9,-1.1,-2.9,-0.2
