Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
39,Rick Carlisle,SG,28,NYK,26,204,9,0.515,0.254,0.164,3.3,4.1,3.6,22.2,2.6,1.2,23.4,18.7,,-0.1,0.2,0.2,0.036,,-2.5,1,-1.5,0
40,Antoine Carr,PF,26,ATL,80,1483,15.5,0.59,0.008,0.352,7,14.7,10.8,10.2,1.3,3.4,16.3,20.2,,2,1.8,3.8,0.122,,-1,1.3,0.3,0.9
41,Joe Barry Carroll,C,29,TOT,77,2004,13.6,0.477,0.002,0.244,6.9,18.9,12.9,8.3,1.2,3,13.8,23.8,,-1.1,2.7,1.6,0.039,,-2.2,0.1,-2.2,-0.1
41,Joe Barry Carroll,C,29,GSW,14,408,11.8,0.449,0.005,0.354,5.6,20.2,12.7,6.8,1.5,3.6,15.1,28.2,,-0.8,0.4,-0.4,-0.048,,-4.2,-0.8,-5,-0.3
41,Joe Barry Carroll,C,29,HOU,63,1596,14,0.486,0.001,0.211,7.2,18.6,13,8.7,1.1,2.8,13.4,22.7,,-0.4,2.4,2,0.061,,-1.7,0.3,-1.5,0.2
42,Bill Cartwright,C,30,NYK,82,1676,17.8,0.639,0,0.807,8.4,18.1,13.1,7.5,1.2,1.6,15.9,20.6,,4.3,2.1,6.4,0.183,,1.5,0.5,2,1.7
43,Terry Catledge,PF,24,WSB,70,1610,14.7,0.542,0.003,0.402,12.4,15.2,13.8,5.9,1,0.3,12.8,20.2,,2,1.5,3.5,0.103,,0,-1.6,-1.6,0.1
44,Tom Chambers,PF,28,SEA,82,2680,16.8,0.526,0.08,0.38,5.5,15.3,10.3,11.9,1.6,1.2,11.6,27,,3.7,2.7,6.4,0.114,,0.8,-0.8,0,1.3
45,Maurice Cheeks*,PG,31,PHI,79,2871,18,0.551,0.025,0.318,2.4,7.9,5.1,33.6,2.9,0.5,14,16.9,,6.1,2.2,8.3,0.138,,2.6,0.8,3.4,3.9
46,Ben Coleman,PF,26,TOT,70,1498,12,0.555,0.007,0.408,8.8,18.5,13.5,6.4,1.4,1.6,19.2,18.6,,0.4,1.4,1.8,0.058,,-2.8,-0.3,-3.1,-0.4
46,Ben Coleman,PF,26,NJN,27,657,13.2,0.536,0.008,0.35,9.9,21,15.2,9.4,2.1,1.5,20.6,22.4,,-0.2,0.8,0.6,0.041,,-3.1,0,-3.2,-0.2
46,Ben Coleman,PF,26,PHI,43,841,11,0.575,0.005,0.474,8,16.5,12.2,4,0.9,1.8,17.6,15.7,,0.6,0.6,1.2,0.071,,-2.6,-0.6,-3.1,-0.2
47,Norris Coleman,SF,26,LAC,29,431,6.6,0.37,0.01,0.188,8.6,11.5,10,4.6,1.2,0.8,7.2,21,,-0.8,0.4,-0.4,-0.046,,-5.2,-1.9,-7.1,-0.6
48,Steve Colter,PG,25,TOT,68,1513,12.8,0.501,0.023,0.215,4.3,8.6,6.4,24.4,2,0.5,15.4,15.6,,1.2,1.4,2.6,0.081,,-0.4,0.7,0.4,0.9
48,Steve Colter,PG,25,PHI,12,152,8.1,0.421,0,0.225,5.3,8.4,6.9,24.1,2,0,20,15.3,,-0.1,0.1,0,0.004,,-3.7,0,-3.8,-0.1
48,Steve Colter,PG,25,WSB,56,1361,13.4,0.509,0.025,0.214,4.1,8.6,6.4,24.5,2,0.6,14.9,15.6,,1.3,1.3,2.5,0.09,,0,0.8,0.9,1
49,Dallas Comegys,PF,23,NJN,75,1122,9.5,0.487,0.003,0.413,5.4,17.5,11.3,8.6,1.6,3.8,21.3,20.5,,-1.6,1.3,-0.3,-0.012,,-5,0.9,-4.2,-0.6
