Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
36,Joe Barry Carroll,C,24,GSW,79,2988,20.1,0.549,0.002,0.307,7.7,17.5,12.5,8.6,1.7,2.9,14.1,26.5,,4.3,2.8,7,0.113,,1.9,-0.4,1.5,2.6
37,Butch Carter,SG,24,IND,81,1716,14.9,0.549,0.072,0.218,3.7,5.8,4.7,15.5,2.1,0.4,13.2,20.4,,2.6,0.5,3,0.085,,-0.1,-0.9,-1,0.4
38,Bill Cartwright,C,25,NYK,82,2468,19,0.627,0,0.636,8.7,19.5,14,8.6,0.8,3.2,16.5,21.3,,5.7,4.4,10.1,0.197,,1.3,1.5,2.8,3
39,Harvey Catchings,C,31,MIL,74,1554,9.8,0.51,0,0.467,9.8,18.6,14.4,6,0.8,5.3,25.9,8.5,,0.3,2.8,3.1,0.096,,-2.6,2.7,0.1,0.8
40,Tom Chambers,PF,23,SDC,79,2665,15.1,0.529,0.007,0.444,8.6,14,11.1,10,1.4,1.3,15.1,22.6,,3.3,1,4.3,0.077,,0,-1.6,-1.6,0.2
41,Maurice Cheeks*,PG,26,PHI,79,2465,18.6,0.582,0.008,0.322,2.4,6.4,4.5,29.6,3.5,0.7,17.4,16.6,,5.6,3.8,9.4,0.183,,2.4,2.3,4.7,4.2
42,Don Collins,SF,24,WSB,65,1575,15.5,0.55,0.009,0.214,8.1,6.7,7.4,13.4,2.7,1.1,17.4,22.1,,1,2.6,3.5,0.108,,0.1,1.7,1.8,1.5
43,Lester Conner,PG,23,GSW,75,1416,14,0.523,0.013,0.373,5.1,12,8.4,21.9,3.8,0.3,21.9,12.5,,1.2,1.5,2.7,0.092,,-0.7,2.2,1.5,1.3
44,Darwin Cook,PG,24,NJN,82,2625,14.3,0.494,0.039,0.245,3.2,7.1,5.2,23.6,3.4,1.1,17.9,19.9,,1.3,4.7,6,0.11,,-0.4,2,1.7,2.4
45,Jeff Cook,PF,26,TOT,75,1333,11.3,0.536,0.01,0.342,10.1,18.2,14.1,10.1,1.4,1.3,23.1,14.1,,0.5,1.7,2.2,0.078,,-2,0.7,-1.3,0.3
45,Jeff Cook,PF,26,PHO,45,551,9,0.492,0.014,0.38,9.2,16.3,12.9,13.3,1,1.3,25.3,16.4,,-0.2,0.8,0.6,0.052,,-3.6,0.6,-3.1,-0.1
45,Jeff Cook,PF,26,CLE,30,782,12.9,0.576,0.006,0.309,10.7,19.5,15,7.9,1.7,1.3,21,12.5,,0.7,0.8,1.6,0.095,,-0.9,0.9,0,0.4
46,Joe Cooper,C,25,TOT,20,333,10.4,0.531,0,0.403,13.4,16,14.6,6.4,1.3,3.5,27.4,13.8,,-0.1,0.3,0.2,0.028,,-2.5,-0.1,-2.6,-0.1
46,Joe Cooper,C,25,LAL,2,11,-5.7,0.25,0,0,21.1,0,10.1,0,4.2,4.8,42.9,25.1,,-0.1,0,-0.1,-0.329,,-5.3,-0.2,-5.5,0
46,Joe Cooper,C,25,WSB,5,47,7.2,0.579,0,1,9.3,21.4,15.3,5.8,0,0,31.6,16.7,,0,0.1,0,0.023,,-4.3,-0.1,-4.4,0
46,Joe Cooper,C,25,SDC,13,275,11.6,0.538,0,0.339,13.8,15.8,14.7,6.8,1.4,4,25.3,12.8,,0.1,0.2,0.2,0.043,,-2.1,-0.1,-2.1,0
47,Michael Cooper,SG,26,LAL,82,2148,13.5,0.577,0.042,0.262,4.4,9.5,7.1,16.7,2.5,1.2,18.8,12.5,,3.1,2.1,5.2,0.116,,0.4,1.5,1.9,2.1
48,Wayne Cooper,C,26,POR,80,2099,12.4,0.479,0.007,0.272,11.4,21.3,16.3,7.6,0.6,3.6,16.7,18.8,,0.1,2.8,2.9,0.067,,-2.6,0,-2.6,-0.3
49,Dave Corzine,C,26,CHI,82,2496,15.1,0.54,0.002,0.35,10.4,20.3,15.4,8.7,0.9,2.3,17.7,20,,1.9,2,4,0.076,,-0.3,-0.7,-1,0.6
50,Dave Cowens*,PF,34,MIL,40,1014,12.6,0.485,0.007,0.206,8.3,20.8,14.8,10.9,1.4,0.8,11.6,15.4,,0.9,1.7,2.6,0.123,,-1.2,0.8,-0.4,0.4
51,Chubby Cox,SG,27,WSB,7,78,1.6,0.366,0.054,0.162,9.8,4.3,7.1,11.5,0,0.7,18.5,25.9,,-0.3,0.1,-0.2,-0.127,,-5.4,-1.1,-6.6,-0.2
52,Charlie Criss,PG,34,MIL,66,922,14.5,0.504,0.083,0.203,1.8,7.4,4.7,19.8,1.4,0,9.7,20.3,,1.3,0.9,2.2,0.113,,0.3,-0.5,-0.2,0.4
53,Geoff Crompton,C,27,SAS,14,148,9.7,0.428,0,0.147,13.8,21.3,17.7,5.6,0.9,1.8,12.1,11.1,,0.1,0.1,0.2,0.078,,-2.6,-0.4,-2.9,0
54,Pat Cummings,C,26,DAL,81,2317,14.6,0.526,0.001,0.223,10.3,21,15.5,8.4,1.1,0.8,14.4,19.2,,2.5,1.5,4,0.084,,-0.4,-1.4,-1.7,0.2
55,Terry Cummings,PF,21,SDC,70,2531,22.8,0.557,0.001,0.315,12.6,21.6,16.7,10.9,2.4,1.4,12,26,,6.5,2.2,8.7,0.164,,3.8,-0.8,3,3.2
56,Earl Cureton,C,25,PHI,73,987,8.1,0.433,0,0.26,9.4,19,14.4,5.5,1.8,1.3,20.9,14.6,,-0.9,1.7,0.8,0.041,,-4,0.7,-3.2,-0.3
57,Quintin Dailey,SG,22,CHI,76,2081,14.1,0.508,0.025,0.28,4.5,8.9,6.7,20.3,1.6,0.3,15.3,24.8,,1.3,0.9,2.1,0.049,,-0.7,-1.4,-2.1,-0.1
58,Adrian Dantley*,SF,27,UTA,22,887,24.4,0.661,0,0.617,6.9,9.2,8,18.8,1,0,13.7,26.1,,3.8,0.5,4.3,0.232,,6,-1.2,4.8,1.5
59,Brad Davis,PG,27,DAL,79,2323,17.9,0.631,0.068,0.35,1.5,7.7,4.6,31.3,1.6,0.3,16.5,14.8,,6.8,0.5,7.3,0.152,,2.8,-0.8,2,2.3
60,Charles Davis,SF,24,WSB,74,1161,13.1,0.489,0.019,0.167,7.8,12.5,10.2,10.2,1.3,1.1,13.7,23.7,,-0.3,1.8,1.5,0.061,,-1.5,0.1,-1.4,0.2
61,Johnny Davis,SG,27,ATL,53,1465,16.8,0.521,0.032,0.363,2.7,6.6,4.6,32,1.4,0.3,14.8,21.9,,2.3,1.2,3.5,0.113,,1.8,-0.9,0.9,1.1
62,Mike Davis,PF,26,NYK,8,28,21.1,0.486,0,1,12.4,29.7,20.9,0,0,8.8,0,21.9,,0.1,0.1,0.1,0.235,,-3.4,0.4,-3,0
63,Walter Davis,SG,28,PHO,80,2491,19.1,0.548,0.018,0.175,2.9,5.7,4.4,25.1,2.2,0.3,11.9,25.8,,4.9,3.2,8.1,0.156,,2.3,0,2.3,2.7
64,Darryl Dawkins,C,26,NJN,81,2093,13.2,0.619,0,0.384,6.9,15.6,11.3,7.8,1.5,4.2,26.4,20,,0,4,4,0.092,,-2.9,2.1,-0.8,0.6
65,Kenny Dennard,PF,24,KCK,22,224,7.6,0.369,0,0.265,9.7,15.5,12.6,3,3.2,0.3,11.6,7.4,,0,0.3,0.3,0.069,,-2.4,1.1,-1.3,0.1
66,Coby Dietrick,C,34,SAS,8,34,4.9,0.17,0,0.4,6.7,18.6,12.8,19.5,1.4,0,14.5,8.1,,0,0,0,-0.004,,-4.1,0.3,-3.8,0
67,James Donaldson,C,25,SEA,82,1789,15.6,0.615,0,0.44,8.2,21.1,14.9,7.3,0.5,3,18.2,16.2,,2.5,2.6,5.1,0.138,,0,0.8,0.9,1.3
68,John Douglas,SG,26,SDC,3,12,7.8,0.363,0.333,0.333,0,10.3,4.7,10,0,0,0,22.3,,0,0,0,0.013,,-4.2,-0.4,-4.5,0
69,Leon Douglas,C,28,KCK,5,46,2,0.515,0,0.667,7.1,9.4,8.2,0,0,3.7,20.5,4.1,,0,0,0,0.036,,-4.4,0.1,-4.3,0
70,John Drew,SF,28,UTA,44,1206,19.6,0.552,0.007,0.584,8.5,11.3,9.9,12.8,1.3,0.3,13.8,31.7,,2.1,0.9,3,0.119,,1.8,-2.1,-0.3,0.5
71,Larry Drew,PG,24,KCK,75,2690,18.1,0.545,0.013,0.31,1.8,6.6,4.2,31.6,2.1,0.2,16.4,23.7,,5.1,2.1,7.2,0.128,,2.4,-0.8,1.6,2.4
72,Terry Duerod,SG,26,GSW,5,49,4.2,0.474,0,0,0,6.9,3.3,13.9,1.9,1.1,32.1,22.4,,-0.2,0,-0.2,-0.149,,-4.5,-0.5,-5,-0.1
73,Mike Dunleavy,PG,28,SAS,79,1619,14,0.53,0.38,0.302,1.3,7.5,4.5,33.6,2.1,0.1,21.7,18.2,,2.1,1,3.1,0.093,,0.7,-1,-0.3,0.7
74,T.R. Dunn,SG,27,DEN,82,2640,11.4,0.524,0.002,0.309,8.8,14.7,11.8,7.9,2.4,0.5,15.9,10,,2.6,1.8,4.4,0.079,,-0.1,0.2,0.1,1.4
75,John Duren,PG,24,IND,82,1433,8.2,0.481,0.036,0.15,2.7,5.5,4,17,2.1,0.2,20,13.1,,0,0.4,0.4,0.013,,-3.8,-0.5,-4.3,-0.8
76,Mark Eaton,C,26,UTA,81,1528,11,0.447,0.003,0.255,5.9,24.4,15.4,9.2,0.7,9.2,26.3,13.6,,-2.1,2.9,0.8,0.026,,-4.8,4.3,-0.5,0.6
77,Jerry Eaves,PG,23,UTA,82,1588,13,0.557,0.014,0.43,2.2,5.5,3.9,18.5,1.4,0.1,18.2,20.6,,1.2,0.8,2,0.061,,-1,-1.7,-2.7,-0.3
78,Keith Edmonson,SG,22,ATL,32,309,6.8,0.371,0.014,0.194,6.9,6.5,6.7,10.3,1.7,1.1,11.7,23,,-0.6,0.3,-0.3,-0.051,,-5,-0.8,-5.9,-0.3
79,Franklin Edwards,PG,23,PHI,81,1266,14.2,0.509,0.017,0.234,2,5,3.5,24,3,0.3,17.1,20.1,,1.1,1.7,2.7,0.104,,-0.8,0.9,0.1,0.7
80,James Edwards,C,27,TOT,31,667,14.5,0.523,0,0.411,9.5,16.7,13.1,8.8,0.9,1.6,13.6,22.4,,0.6,0.7,1.4,0.098,,-1.5,-0.5,-2,0
80,James Edwards,C,27,CLE,15,382,14.7,0.52,0,0.407,10.8,18,14.3,5.4,0.9,2.1,14.5,22.7,,0.2,0.3,0.6,0.074,,-1.7,-0.8,-2.5,-0.1
80,James Edwards,C,27,PHO,16,285,14.4,0.527,0,0.416,7.7,14.9,11.4,13.4,0.8,1,12.4,21.9,,0.4,0.4,0.8,0.131,,-1.3,0,-1.4,0.1
81,Len Elmore,C,30,NJN,74,975,8.2,0.441,0.004,0.344,9.5,18,13.8,5.1,2.1,2.3,22.8,14.7,,-1,1.9,0.9,0.045,,-4,1.4,-2.6,-0.2
82,Chris Engler,C,23,GSW,54,369,5.8,0.401,0,0.17,12.2,18.5,15.3,3.7,0.9,2.6,19.2,13.3,,-0.3,0.3,0,-0.006,,-6.2,-0.9,-7.1,-0.5
