Player,Salary in $,height,birth_state
Anthony Randolph,2911231,208.0,Germany
Anthony Roberson,797581,196.0,Tennessee
Anthony Tolliver,8000000,203.0,Missouri
Anthony Tucker,225000,203.0,District of Columbia
Antoine Carr,2525000,206.0,Oklahoma
Antoine Walker,14625000,193.0,New York
Antoine Wright,2110550,201.0,California
Antonio Burks,641748,185.0,Tennessee
Antonio Daniels,6200000,193.0,Ohio
Antonio Davis,13925000,206.0,California
Antonio Harvey,715850,211.0,Mississippi
Antonio Lang,520000,211.0,Arkansas
Antonio McDyess,13500000,206.0,Mississippi
Antonis Fotsis,332817,208.0,Greece
Archie Goodwin,2094089,196.0,Arkansas
Arinze Onuaku,440078,206.0,Maryland
Armen Gilliam,3244000,206.0,Pennsylvania
Armon Johnson,762195,196.0,Minnesota
Arnett Moultrie,1136160,211.0,New York
Aron Baynes,6500000,208.0,New Zealand
Arron Afflalo,12500000,196.0,California
Art Long,465850,206.0,New York
Arvydas Macijauskas,2500000,193.0,Lithuania
Ashraf Amaya,247500,203.0,Illinois
Austin Croshere,8260000,206.0,California
Austin Daye,2958077,211.0,California
Austin Rivers,11825000,193.0,California
Avery Bradley,8808989,188.0,Washington
Avery Johnson,5445600,178.0,Louisiana
Awvee Storey,711517,198.0,Illinois
Axel Toupane,123552,201.0,France
Baron Davis,16440000,190.0,California
Bart Kofoed,140000,193.0,Nebraska
Ben Davis,425000,206.0,Florida
Ben Gordon,11600000,190.0,United Kingdom
Ben Handlogten,366931,208.0,Michigan
Ben Hansbrough,473604,190.0,Missouri
Ben McLemore,5200000,196.0,Missouri
Ben Uzoh,473604,190.0,Texas
Ben Wallace,16000000,206.0,Alabama
Beno Udrih,7372000,190.0,Slovenia
Benoit Benjamin,3975000,213.0,Louisiana
Bernard James,915243,208.0,Georgia
Bernard Robinson,1080000,198.0,District of Columbia
Bill Cartwright,2400000,216.0,California
Bill Curley,1544000,206.0,Massachusetts
Bill Hanzlik,510000,201.0,Ohio
Bill Laimbeer,1510000,211.0,Massachusetts
Bill Wennington,1800000,213.0,Canada
Billy Owens,4225200,203.0,Pennsylvania
Billy Thomas,510529,193.0,Louisiana
Billy Thompson,400000,201.0,New Jersey
Bimbo Coles,2400000,185.0,Virginia
Bismack Biyombo,17000000,206.0,Democratic Republic of the Congo
Bison Dele,5770000,206.0,California
Blair Rasmussen,3088000,213.0,Washington
Blake Ahearn,125562,188.0,Missouri
Blake Griffin,29512900,208.0,Oklahoma
Blue Edwards,2300000,193.0,District of Columbia
Bo Kimble,1435000,193.0,Pennsylvania
Bo Outlaw,6585000,203.0,Texas
Bob Hansen,600000,198.0,Iowa
Bob Martin,250000,213.0,Minnesota
Bob McCann,300000,198.0,New Jersey
Bob Sura,6266666,196.0,Pennsylvania
Bob Thornton,335000,208.0,California
Boban Marjanovic,7000000,221.0,Serbia
Bobby Brown,1524305,193.0,Ohio
Bobby Hurley,4030000,183.0,New Jersey
Bobby Jackson,6487888,185.0,North Carolina
Bobby Jones,687456,206.0,North Carolina
Bobby Phills,5220000,196.0,Louisiana
Bobby Portis,1516320,211.0,Arkansas
Bobby Simmons,10602667,201.0,Illinois
Bojan Bogdanovic,10500000,198.0,Serbia
Bonzi Wells,8000000,196.0,Indiana
Boris Diaw,9000000,203.0,France
Bostjan Nachbar,2500000,206.0,Slovenia
Bracey Wright,664209,211.0,California
Brad Daugherty,4700000,213.0,North Carolina
Brad Davis,600000,190.0,Pennsylvania
Brad Lohaus,1377000,211.0,Minnesota
Brad Miller,12250000,211.0,Indiana
Bradley Beal,23775506,196.0,Missouri
Brandan Wright,5955760,211.0,California
Branden Dawson,525093,198.0,Indiana
Brandon Armstrong,995650,196.0,California
Brandon Bass,6900000,203.0,Louisiana
Brandon Hunter,620046,201.0,Ohio
Brandon Ingram,5519400,206.0,North Carolina
Brandon Jennings,8344497,185.0,California
Brandon Knight,13618750,178.0,New Jersey
Brandon Roy,19317326,198.0,Washington
Brandon Rush,4000000,198.0,Missouri
Brandon Williams,35176,198.0,Louisiana
Brendan Haywood,7798000,213.0,New York
Brent Barry,5544370,198.0,New York
Brent Price,4048000,185.0,Oklahoma
Brent Scott,247500,208.0,Michigan
Brett Szabo,220000,211.0,Iowa
Brevin Knight,5000000,178.0,New Jersey
Brian Cardinal,6750000,203.0,Illinois
Brian Cook,3500000,206.0,Illinois
Brian Davis,150000,190.0,Pennsylvania
Brian Evans,686780,203.0,Illinois
Brian Grant,14848080,206.0,Ohio
Brian Howard,200000,198.0,North Carolina
Brian Oliver,456000,193.0,Illinois
Brian Quinnett,450000,203.0,Washington
Brian Roberts,2854940,185.0,Ohio
Brian Scalabrine,3413793,206.0,California
Brian Shaw,4250000,198.0,California
Brian Skinner,5400000,206.0,Texas
Briante Weber,328000,188.0,Virginia
Brice Johnson,1331160,208.0,Utah
Britton Johnsen,45369,208.0,Utah
Brook Lopez,22642350,213.0,California
Brooks Thompson,1118000,193.0,Texas
Bruce Bowen,4125000,201.0,California
Bruno Caboclo,2451225,206.0,Brazil
Bruno Sundov,870046,218.0,Croatia
Bryant Reeves,12999998,213.0,Arkansas
Bryant Stith,5920000,196.0,Virginia
Bryce Cotton,228663,185.0,Arizona
Bryce Dejean-Jones,281659,198.0,California
Bryce Drew,1300000,188.0,Louisiana
Bryn Forbes,1312611,190.0,Michigan
Bryon Russell,5142857,201.0,California
Bubba Wells,312000,196.0,Kentucky
Buck Johnson,775000,201.0,Alabama
Buck Williams,5050000,203.0,North Carolina
Buddy Hield,3675480,193.0,Bahamas
Byron Houston,800000,196.0,Kansas
Byron Irvin,375000,196.0,Illinois
Byron Mullens,1204200,213.0,Ohio
Byron Scott,1650000,190.0,Utah
Cal Bowdler,1179720,208.0,Virginia
Calbert Cheaney,4000000,201.0,Indiana
Calvin Booth,6629891,211.0,Ohio
Cameron Bairstow,19000000,206.0,Australia
Cameron Payne,2203440,190.0,Tennessee
Caris LeVert,1632480,201.0,Ohio
Carl Herrera,2080000,206.0,Trinidad and Tobago
Carl Landry,8500000,206.0,Wisconsin
Carl Thomas,272250,193.0,Ohio
Carldell Johnson,168035,178.0,Louisiana
Carlos Arroyo,4100000,188.0,Puerto Rico
Carlos Boozer,15300000,206.0,Germany
Carlos Delfino,3500000,198.0,Argentina
Carlos Rogers,2200000,211.0,Michigan
Carmelo Anthony,26243760,203.0,New York
Caron Butler,10561960,201.0,Wisconsin
Carrick Felix,816482,198.0,Arizona
Cartier Martin,1270964,201.0,Texas
Casey Jacobsen,1082160,198.0,California
Casey Shaw,287500,211.0,Ohio
Cedric Bozeman,412718,198.0,California
Cedric Ceballos,3937500,198.0,Hawaii
Cedric Henderson,3000000,203.0,Georgia
Cedric Jackson,53834,190.0,New Mexico
Cedric Simmons,1742760,206.0,North Carolina
Cezary Trybanski,1600000,218.0,Poland
