Player,Salary in $,height,birth_state
Gerald Henderson,9000000,188.0,Virginia
Gerald Madkins,615000,193.0,California
Gerald Paddio,190000,201.0,Louisiana
Gerald Wallace,10500000,201.0,Alabama
Gerald Wilkins,2478000,198.0,Georgia
Gerard King,489500,183.0,West Virginia
Gheorghe Muresan,2363000,231.0,Romania
Giannis Antetokounmpo,22471910,211.0,Greece
Gilbert Arenas,20807922,190.0,California
Glen Davis,6600000,206.0,Louisiana
Glen Rice,8800000,201.0,Arkansas
Glenn Robinson,12071250,201.0,Indiana
God Shammgod,242250,183.0,New York
Goran Dragic,17000450,190.0,Slovenia
Gordan Giricek,4000000,198.0,Croatia
Gordon Hayward,29727900,203.0,Indiana
Gorgui Dieng,14112360,211.0,Senegal
Grant Hill,16901500,203.0,Texas
Grant Jerrett,947276,208.0,California
Grant Long,2977000,203.0,Michigan
Greg Anderson,1465000,208.0,Texas
Greg Anthony,3500000,183.0,Nevada
Greg Buckner,4010005,193.0,Kentucky
Greg Dreiling,650000,216.0,Kansas
Greg Foster,1764247,211.0,California
Greg Graham,1540000,193.0,Indiana
Greg Grant,300000,170.0,New Jersey
Greg Kite,985000,211.0,Texas
Greg Minor,3240000,198.0,Georgia
Greg Monroe,17884176,211.0,Louisiana
Greg Oden,6760524,213.0,New York
Greg Ostertag,8666666,218.0,Texas
Greg Smith,948163,196.0,Kentucky
Greg Stiemsma,2676000,211.0,Wisconsin
Greg Sutton,250000,188.0,California
Greivis Vasquez,6600000,198.0,Venezuela
Guillermo Diaz,56065,188.0,Puerto Rico
Gundars Vetra,300000,198.0,Latvia
Gustavo Ayon,1567500,208.0,Mexico
Guy Rucker,34946,211.0,Michigan
Ha Seung-Jin,744551,221.0,Republic of Korea
Hakim Warrick,4000000,206.0,Pennsylvania
Hamed Haddadi,1627779,218.0,Islamic Republic of Iran
Hanno Mottola,465850,211.0,Finland
Harold Ellis,250000,196.0,Georgia
Harold Jamison,600000,203.0,South Carolina
Harold Miner,1733000,196.0,California
Harvey Grant,4671875,203.0,Georgia
Hasheem Thabeet,5127720,221.0,United Republic of Tanzania
Hassan Adams,412718,193.0,California
Hassan Whiteside,23775506,213.0,North Carolina
Haywoode Workman,1080000,188.0,North Carolina
Hedo Turkoglu,12000000,208.0,Turkey
Henry Ellenson,1780800,211.0,Wisconsin
Henry James,1000000,203.0,Alabama
Henry Sims,915243,208.0,Maryland
Herb Williams,1600000,208.0,Ohio
Hersey Hawkins,3644000,190.0,Illinois
Hilton Armstrong,2801198,211.0,New York
Hollis Thompson,947276,203.0,California
Horace Grant,14857000,208.0,Georgia
Horace Jenkins,385277,185.0,New Jersey
Howard Eisley,5843750,188.0,Michigan
Howard Wright,5000,190.0,Kentucky
Hubert Davis,2956250,196.0,North Carolina
Ian Clark,1577230,190.0,Tennessee
Ian Lockhart,263000,203.0,Bahamas
Ian Mahinmi,16661641,211.0,France
Ibo Kutluay,1760000,198.0,Turkey
Igor Rakocevic,349458,190.0,Serbia
Ike Diogu,2912823,203.0,New York
Iman Shumpert,10337079,196.0,Illinois
Ime Udoka,1080000,198.0,Oregon
Ira Bowman,19787,196.0,New Jersey
Ira Newble,3441900,201.0,Michigan
Irving Thomas,120000,203.0,New York
Isaac Austin,5695715,208.0,California
Isaiah Canaan,1015696,183.0,Mississippi
Isaiah Morris,140000,203.0,Virginia
Isaiah Rider,5410000,196.0,California
Isaiah Taylor,1312611,190.0,California
Isaiah Thomas,7238606,185.0,Illinois
Isaiah Whitehead,1312611,193.0,New York
Ish Smith,6000000,183.0,North Carolina
Ivan Johnson,962195,203.0,Texas
Ivano Newbill,272250,206.0,Missouri
Ivica Zubac,1312611,216.0,Bosnia and Herzegovina
JaJuan Johnson,1042320,206.0,Wyoming
JaKarr Sampson,845059,211.0,California
JaMychal Green,8533333,206.0,Alabama
JaVale McGee,12000000,213.0,Michigan
Jabari Brown,44765,193.0,California
Jabari Parker,6782392,203.0,Illinois
Jabari Smith,720046,211.0,Georgia
Jack Cooley,187357,206.0,Illinois
Jack Haley,510000,208.0,California
Jack Sikma,1600000,211.0,Illinois
Jackie Butler,2552000,208.0,Mississippi
Jackson Vroman,682051,208.0,California
Jacque Vaughn,1500000,185.0,California
Jae Crowder,6796117,198.0,Georgia
Jahidi White,5676091,206.0,Missouri
Jahlil Okafor,4995120,211.0,Illinois
Jake Layman,1312611,206.0,Massachusetts
Jake Tsakalidis,2900000,218.0,Georgia
Jake Voskuhl,3000000,211.0,Oklahoma
Jakob Poeltl,2825640,213.0,Austria
Jalen Rose,15694250,203.0,Michigan
Jamaal Franklin,163296,196.0,California
Jamaal Magloire,8533333,211.0,Canada
Jamaal Tinsley,6750000,190.0,New York
Jamal Crawford,13253012,196.0,Washington
Jamal Mashburn,10075000,203.0,New York
Jamal Murray,3355320,193.0,Canada
Jamal Robinson,40000,198.0,California
Jamal Sampson,719373,211.0,California
Jamario Moon,3000000,203.0,Alabama
Jameer Nelson,8600000,183.0,Pennsylvania
Jamel Thomas,31963,198.0,New York
James Anderson,1463520,198.0,Arkansas
James Augustine,687456,208.0,Illinois
James Collins,242000,193.0,Florida
James Cotton,242000,201.0,Montana
James Donaldson,880000,218.0,United Kingdom
James Edwards,1300000,213.0,Washington
James Ennis,3028410,201.0,California
James Harden,28299399,196.0,California
James Johnson,13954000,206.0,Wyoming
James Lang,771331,208.0,Alabama
James Posey,7595600,203.0,Ohio
James Robinson,1870000,198.0,California
James Scott,220000,198.0,New Jersey
James Singleton,1030189,203.0,Illinois
James Thomas,148698,198.0,New York
James White,854389,206.0,Missouri
James Young,1825200,198.0,Michigan
JamesOn Curry,427163,190.0,North Carolina
Jamie Feick,2600000,206.0,Ohio
Jamie Watson,1000000,201.0,North Carolina
Jamison Brewer,720046,193.0,Georgia
Jan Vesely,3340920,211.0,Czech Republic
Jannero Pargo,2000000,185.0,Illinois
Jared Cunningham,1208400,193.0,California
Jared Dudley,10470000,201.0,California
Jared Jeffries,6883800,211.0,Indiana
Jared Reiner,396905,211.0,South Dakota
Jared Sullinger,5628000,206.0,Ohio
Jarell Eddie,561716,201.0,Florida
Jarell Martin,1471382,208.0,Louisiana
Jaren Jackson,3020834,193.0,Louisiana
Jarnell Stokes,845059,206.0,Tennessee
Jarrett Jack,6300000,190.0,Maryland
Jarrod Uthoff,63938,206.0,Iowa
Jarron Collins,2350000,193.0,Florida
Jarvis Hayes,2564127,201.0,Georgia
Jarvis Varnado,788872,206.0,Virginia
Jason Caffey,5687500,203.0,Alabama
Jason Collier,1650000,193.0,Florida
Jason Collins,6200000,193.0,Florida
Jason Hart,2484000,190.0,California
Jason Kapono,6641440,203.0,California
Jason Kidd,21372000,193.0,California
Jason Lawson,242250,211.0,Pennsylvania
Jason Maxiell,5000000,201.0,Illinois
Jason Richardson,14444444,198.0,Michigan
Jason Sasser,2706,201.0,Texas
Jason Smith,5225000,211.0,Georgia
Jason Terry,11158000,188.0,Washington
Jason Thompson,6431250,185.0,New York
Jason Williams,8937500,206.0,South Carolina
Javaris Crittenton,1477920,196.0,Georgia
Jawad Williams,736420,206.0,South Carolina
Jawann Oldham,175000,213.0,Illinois
Jay Guidinger,250000,208.0,Wisconsin
Jay Humphries,1900000,190.0,California
Jay Williams,3710880,206.0,South Carolina
Jaylen Brown,4956480,193.0,California
Jayson Williams,15125000,206.0,South Carolina
Jeff Adrien,981084,201.0,Massachusetts
Jeff Foote,225341,213.0,New York
Jeff Foster,6655000,211.0,Texas
Jeff Grayer,950000,196.0,Michigan
Jeff Hornacek,4195000,190.0,Illinois
Jeff Malone,2380000,193.0,Alabama
Jeff Martin,210000,196.0,Arkansas
Jeff McInnis,3600000,193.0,North Carolina
Jeff Nordgaard,242000,201.0,Minnesota
Jeff Sanders,475000,203.0,Georgia
Jeff Teague,19000000,188.0,Indiana
Jeff Trepagnier,638679,193.0,California
Jeff Turner,1300000,206.0,Maine
Jeff Withey,1577320,213.0,California
Jeffrey Sheppard,385000,190.0,Georgia
Jelani McCoy,1110000,208.0,California
Jerald Honeycutt,460000,206.0,Louisiana
Jerami Grant,1524305,203.0,Oregon
Jerel McNeal,29843,190.0,Illinois
Jeremy Evans,1794872,206.0,Arkansas
Jeremy Lamb,7000000,196.0,Virginia
Jeremy Lin,12000000,190.0,California
Jeremy Pargo,1000000,188.0,Illinois
Jeremy Richardson,769431,198.0,Pennsylvania
Jeremy Tyler,884293,208.0,California
Jerian Grant,1713840,203.0,Oregon
Jermaine Jackson,771123,193.0,Michigan
Jermaine Taylor,780871,193.0,Arkansas
Jerome Allen,510000,193.0,Pennsylvania
Jerome Beasley,620046,208.0,California
Jerome James,6600000,213.0,Florida
Jerome Jordan,915243,213.0,Jamaica
Jerome Kersey,3608000,201.0,Virginia
Jerome Lane,640000,198.0,Ohio
Jerome Moiso,1760000,208.0,France
Jerome Williams,7639400,206.0,District of Columbia
Jerrelle Benimon,35000,203.0,Virginia
Jerrod Mustaf,1073000,208.0,North Carolina
Jerry Reynolds,1300000,203.0,New York
Jerry Stackhouse,8367187,198.0,North Carolina
Jerryd Bayless,9424084,190.0,Arizona
Jeryl Sasser,1125729,198.0,Texas
Jim Grandholm,115000,213.0,Indiana
Jim Jackson,4600000,198.0,Ohio
Jim Les,413000,180.0,Illinois
Jim McIlvaine,6000000,216.0,Wisconsin
Jim Paxson,225000,198.0,Indiana
Jim Petersen,1521000,208.0,Minnesota
Jimmer Fredette,2439840,188.0,New York
Jimmy Butler,19301070,201.0,Texas
Jimmy King,330000,188.0,Oklahoma
Jimmy Oliver,272250,196.0,Arkansas
Jiri Welsch,2177114,201.0,Czech Republic
Joakim Noah,17765000,211.0,New York
Jodie Meeks,6540000,193.0,Georgia
Joe Alexander,2583360,203.0,Taiwan
Joe Courtney,225000,203.0,Mississippi
Joe Crispin,48705,183.0,New Jersey
Joe Harris,1524305,198.0,Washington
Joe Ingles,14136364,203.0,Australia
Joe Johnson,24894863,201.0,Mississippi
Joe Kleine,1235000,211.0,Colorado
Joe Smith,6807000,213.0,Mississippi
Joe Stephens,88441,201.0,California
Joe Wolf,1000000,211.0,Wisconsin
Joe Young,1471382,188.0,Texas
Joel Anthony,3800000,206.0,Canada
Joel Bolomboy,1312611,206.0,Ukraine
Joel Embiid,6100266,213.0,Cameroon
Joel Freeland,3013512,208.0,United Kingdom
Joel Przybilla,6857725,216.0,Minnesota
Joey Dorsey,1015421,203.0,Maryland
Joey Graham,2449184,201.0,Delaware
Joffrey Lauvergne,1790280,211.0,France
Johan Petro,3500000,213.0,France
John Amaechi,2610000,208.0,Massachusetts
John Bagley,600000,183.0,Connecticut
John Battle,1330000,188.0,District of Columbia
John Celestand,301875,193.0,Texas
John Coker,510000,213.0,Washington
John Crotty,1000000,185.0,New Jersey
John Edwards,1000000,213.0,Ohio
John Henson,12517606,211.0,North Carolina
John Jenkins,1312920,193.0,Tennessee
John Long,272500,196.0,Michigan
John Lucas,1600000,190.0,North Carolina
John Morton,450000,190.0,New York
John Paxson,1600000,188.0,Ohio
John Salley,2652000,211.0,New York
John Salmons,8500000,201.0,Pennsylvania
John Shasky,250000,211.0,Michigan
John Starks,5112500,190.0,Oklahoma
John Thomas,832560,198.0,Georgia
John Turner,615000,203.0,District of Columbia
John Wall,18063850,193.0,North Carolina
John Wallace,2630000,203.0,New York
John Williams,1100000,188.0,Connecticut
Johnny Dawkins,2100000,188.0,District of Columbia
Johnny Newman,2000000,201.0,Virginia
Johnny Taylor,1037000,206.0,Tennessee
Jon Barry,3175000,193.0,California
Jon Brockman,1000000,201.0,Washington
Jon Koncak,2900000,213.0,Iowa
Jon Leuer,10991957,208.0,Minnesota
Jon Sundvold,335000,188.0,South Dakota
Jonas Jerebko,5000000,208.0,Sweden
Jonas Valanciunas,15460675,213.0,Lithuania
Jonathan Bender,7175000,211.0,Mississippi
Jonathan Gibson,680937,188.0,California
Jonathan Kerner,287500,211.0,Georgia
Jonathon Simmons,6300000,185.0,Alabama
Jonny Flynn,3414720,183.0,New York
Jordan Adams,1465080,196.0,Georgia
Jordan Clarkson,12500000,196.0,Florida
Jordan Crawford,2162419,196.0,Michigan
Jordan Farmar,4000000,188.0,California
Jordan Hamilton,1169880,178.0,Kentucky
Jordan Hill,9000000,208.0,Georgia
Jordan McRae,874636,198.0,Georgia
Jordan Mickey,1471382,203.0,Texas
Jordan Williams,762195,188.0,Connecticut
Jorge Garbajosa,4350000,206.0,Spain
Jorge Gutierrez,301444,190.0,Mexico
Jose Calderon,9780992,190.0,Spain
Joseph Forte,1080360,193.0,Georgia
Josh Akognon,788872,180.0,California
Josh Boone,2056968,208.0,Maryland
Josh Childress,7317500,203.0,California
Josh Davis,620046,188.0,Michigan
Josh Grant,150000,206.0,Utah
Josh Harrellson,884293,208.0,Missouri
Josh Howard,10890000,201.0,North Carolina
Josh Huestis,1471382,201.0,Texas
Josh McRoberts,6021175,208.0,Indiana
Josh Powell,1069609,206.0,South Carolina
Josh Richardson,1471382,198.0,Oklahoma
Josh Selby,762195,188.0,Maryland
Josh Smith,14000000,213.0,Mississippi
Jrue Holiday,25686667,193.0,California
Juan Dixon,2550000,190.0,Maryland
Juan Hernangomez,2076840,206.0,Spain
Jud Buechler,3600000,198.0,California
Julian Wright,2858057,203.0,Illinois
Julius Hodge,1234800,201.0,New York
Julius Nwosu,150000,208.0,Nigeria
Julius Randle,4149242,206.0,Texas
Julyan Stone,1524305,198.0,Virginia
Jumaine Jones,1687500,203.0,Florida
Junior Burrough,300000,203.0,North Carolina
Junior Harrington,695046,193.0,North Carolina
Justin Anderson,1579440,198.0,Virginia
Justin Hamilton,3000000,213.0,California
Justin Harper,762195,208.0,Virginia
Justin Holiday,4615385,198.0,California
Justin Reed,1573000,203.0,Mississippi
Justin Williams,261724,208.0,Illinois
Justise Winslow,2705040,201.0,Texas
Jusuf Nurkic,2947305,213.0,Bosnia and Herzegovina
Juwan Howard,20625000,206.0,Illinois
Kaniel Dickens,483938,203.0,Colorado
Kareem Rush,1097640,198.0,Missouri
Karl-Anthony Towns,6216840,213.0,New Jersey
Kawhi Leonard,18868625,201.0,California
Kay Felder,1312611,175.0,Michigan
Kebu Stewart,242000,203.0,New York
Kedrick Brown,2332388,201.0,Louisiana
Keith Appling,161776,185.0,Michigan
Keith Askins,725000,201.0,Alabama
Keith Benson,75000,208.0,Indiana
Keith Bogans,5058198,196.0,Virginia
Keith Booth,687240,198.0,Maryland
Keith Closs,1920000,221.0,Connecticut
Keith Jennings,350000,170.0,Virginia
Keith Langford,272316,193.0,Texas
Keith McLeod,1250000,188.0,Ohio
Keith Owens,250000,201.0,California
Keith Tower,263000,211.0,Montana
Kelenna Azubuike,3300000,196.0,United Kingdom
Kelly McCarty,287500,201.0,Illinois
Kelly Olynyk,10607169,213.0,Canada
Kelly Oubre,2093040,201.0,Louisiana
Kelly Tripucka,1000000,198.0,New Jersey
Kelvin Cato,8640000,211.0,Georgia
Kelvin Upshaw,250000,188.0,Illinois
Kemba Walker,12000000,203.0,Georgia
Ken Bannister,400000,206.0,Maryland
Ken Johnson,349458,203.0,Alabama
Ken Norman,3775000,203.0,Illinois
Kendall Gill,7000000,196.0,Illinois
Kendall Marshall,2144722,193.0,Virginia
Kendrick Perkins,9654342,208.0,Texas
Kennard Winchester,120000,196.0,Maryland
Kenneth Faried,12921348,203.0,New Jersey
Kenny Anderson,9185000,183.0,New York
Kenny Battle,350000,198.0,Illinois
Kenny Gattison,1450000,203.0,North Carolina
Kenny Payne,500000,203.0,Mississippi
Kenny Satterfield,332817,188.0,New York
Kenny Smith,2683000,190.0,New York
Kenny Thomas,8775000,201.0,Georgia
Kenny Walker,875000,203.0,Georgia
Kenny Williams,375000,188.0,New York
Kent Bazemore,16910113,196.0,North Carolina
Kentavious Caldwell-Pope,17745894,196.0,Georgia
Kenyon Martin,16545454,206.0,Michigan
Keon Clark,5000600,211.0,Illinois
Kerry Kittles,9566667,196.0,Ohio
Kevin Brooks,975000,198.0,South Carolina
Kevin Duckworth,2863000,213.0,Illinois
Kevin Durant,26540100,206.0,District of Columbia
Kevin Edwards,2640000,190.0,Ohio
Kevin Gamble,1868750,196.0,Illinois
Kevin Garnett,28000000,211.0,South Carolina
Kevin Johnson,8000000,203.0,Alabama
Kevin Jones,390027,203.0,New York
Kevin Love,22642350,208.0,California
Kevin Lynch,325000,196.0,Minnesota
Kevin Martin,12439675,206.0,Michigan
Kevin Murphy,473604,196.0,Georgia
Kevin Ollie,3196050,193.0,Texas
Kevin Pritchard,185000,190.0,Indiana
Kevin Salvadori,300000,213.0,West Virginia
Kevin Seraphin,3898692,206.0,French Guiana
Kevin Thompson,150000,211.0,North Carolina
Kevin Willis,3650000,188.0,New York
Kevon Looney,1471382,206.0,Wisconsin
Keyon Dooling,3596000,190.0,Florida
Khalid El-Amin,465850,178.0,Minnesota
Khalid Reeves,2002000,190.0,New York
Khris Middleton,15200000,203.0,South Carolina
Kiki Vandeweghe,1025000,203.0,Germany
Kirk Haston,1360080,206.0,Tennessee
Kirk Hinrich,11250000,193.0,Iowa
Kirk Penney,8950,196.0,New Zealand
Kirk Snyder,2358433,198.0,California
Klay Thompson,17826150,201.0,California
Kobe Bryant,30453805,198.0,Pennsylvania
Korleone Young,287500,201.0,Kansas
Kosta Koufos,8393000,213.0,Ohio
Kosta Perovic,1800000,218.0,Croatia
Kostas Papanikolaou,4800000,203.0,Greece
Kris Dunn,4046760,193.0,Connecticut
Kris Humphries,12000000,206.0,Minnesota
Kristaps Porzingis,4503600,221.0,Latvia
Kurk Lee,120000,190.0,Maryland
Kurt Rambis,1100000,203.0,California
Kurt Thomas,8091188,206.0,Texas
Kwame Brown,9075000,211.0,South Carolina
Kyle Anderson,2151704,206.0,New York
Kyle Korver,7000000,201.0,California
Kyle Lowry,28703704,183.0,Pennsylvania
Kyle Singler,5000000,203.0,Oregon
Kyle Weaver,870968,198.0,Wisconsin
Kyrie Irving,18868625,190.0,Australia
Kyrylo Fesenko,1087500,216.0,Ukraine
LaBradford Smith,940000,203.0,Mississippi
LaMarcus Aldridge,21461010,211.0,Texas
LaPhonso Ellis,3650000,203.0,Illinois
LaSalle Thompson,2000000,208.0,Ohio
Lamar Odom,14148596,208.0,New York
Lamar Patterson,525093,196.0,Pennsylvania
Lamond Murray,5250000,201.0,California
Lamont Strothers,150000,193.0,Virginia
Lanard Copeland,130000,198.0,Georgia
Lance Blanks,365000,193.0,Texas
Lance Stephenson,9000000,196.0,New York
Lance Thomas,6655325,203.0,New York
Landry Fields,6250000,201.0,California
Langston Galloway,6666667,188.0,Louisiana
Lari Ketner,423500,206.0,Pennsylvania
Laron Profit,745248,196.0,South Carolina
Larry Drew,600000,185.0,Kansas
Larry Hughes,13655268,196.0,Missouri
Larry Johnson,11335714,190.0,Kentucky
Larry Krystkowiak,644000,206.0,Montana
Larry Nance,2840000,208.0,South Carolina
Larry Owens,86052,201.0,Arizona
Larry Robinson,715850,190.0,Louisiana
Larry Sanders,11000000,211.0,Florida
Larry Smith,997000,203.0,Mississippi
Larry Stewart,700000,203.0,Pennsylvania
Latrell Sprewell,14625000,196.0,Wisconsin
Lavor Postell,587435,196.0,Georgia
Lavoy Allen,4000000,206.0,Pennsylvania
Lawrence Funderburke,3600000,206.0,Ohio
Lawrence Moten,321000,196.0,District of Columbia
Lawrence Roberts,664209,206.0,Texas
Lazar Hayward,1097520,198.0,New York
Lazaro Borrell,301875,203.0,Cuba
LeBron James,33285709,203.0,Ohio
LeRon Ellis,400000,208.0,New York
Leandro Barbosa,7600000,190.0,Brazil
Ledell Eackles,780000,196.0,Louisiana
Lee Mayberry,1540000,185.0,Oklahoma
Lee Nailon,835810,206.0,Indiana
Leon Powe,915852,203.0,California
Leon Smith,517360,208.0,Illinois
Les Jepsen,505000,213.0,North Dakota
Lester Conner,900000,193.0,Tennessee
Lester Hudson,199185,190.0,Tennessee
Linas Kleiza,4995000,203.0,Lithuania
Lindsey Hunter,3870912,188.0,Mississippi
Linton Johnson,771331,203.0,Illinois
Lionel Chalmers,682050,183.0,New York
Lionel Simmons,4238500,201.0,Pennsylvania
Litterial Green,250000,185.0,Mississippi
Lloyd Daniels,250000,201.0,New York
Lonny Baxter,745248,203.0,Maryland
Loren Meyer,722760,208.0,Iowa
Loren Woods,780000,216.0,Missouri
Lorenzen Wright,7700000,188.0,New Jersey
Lorenzo Brown,283367,196.0,Georgia
Lorenzo Williams,2068000,206.0,Florida
Lou Amundson,1650000,206.0,California
Lou Roe,247500,201.0,New Jersey
Lou Williams,7000000,206.0,Florida
Loy Vaught,5364964,206.0,Michigan
Luc Longley,6900000,218.0,Australia
Lucas Nogueira,2947305,213.0,Brazil
Lucious Harris,2640000,196.0,California
Luigi Datome,1750000,203.0,Italy
Luis Flores,385277,188.0,Dominican Republic
Luis Montero,525093,201.0,Dominican Republic
Luis Scola,8591793,206.0,Argentina
Luke Babbitt,1974159,206.0,Ohio
Luke Harangody,1054389,203.0,Illinois
Luke Jackson,1955160,206.0,Texas
Luke Ridnour,6500000,188.0,Idaho
Luke Schenscher,55000,216.0,Australia
Luke Walton,6091363,203.0,California
Luke Zeller,473604,211.0,Iowa
Luol Deng,18000000,206.0,South Sudan
Luther Head,1962378,190.0,Illinois
Luther Wright,845000,218.0,New Jersey
Lynn Greer,664209,188.0,Pennsylvania
Maalik Wayns,217301,188.0,Pennsylvania
Maceo Baston,2272860,206.0,Texas
Maciej Lampe,900000,211.0,Poland
Mahmoud Abdul-Rauf,3300000,188.0,Delaware
Malachi Richardson,1504560,198.0,New Jersey
Malcolm Brogdon,1312611,196.0,Georgia
Malcolm Delaney,2500000,190.0,Maryland
Malcolm Lee,884293,196.0,California
Malcolm Mackey,550000,206.0,Tennessee
Malcolm Thomas,474000,206.0,Missouri
Malik Allen,1950625,208.0,New Jersey
Malik Beasley,1700640,196.0,Georgia
Malik Hairston,736420,198.0,Michigan
Malik Rose,7647500,201.0,Pennsylvania
Malik Sealy,1732000,203.0,New York
Manny Harris,473604,196.0,Michigan
Manu Ginobili,14107492,198.0,Argentina
Manute Bol,1650000,231.0,South Sudan
MarShon Brooks,1210080,196.0,New Jersey
Marc Gasol,22642350,216.0,Spain
Marc Jackson,4875000,185.0,New York
Marcelo Huertas,1500000,190.0,Brazil
Marcin Gortat,12782609,211.0,Poland
Marco Belinelli,6606060,196.0,Italy
Marcus Banks,4847586,188.0,Nevada
Marcus Brown,500000,190.0,Arkansas
Marcus Camby,11749832,211.0,Connecticut
Marcus Fizer,3726994,206.0,Michigan
Marcus Georges-Hunt,1312611,196.0,Florida
Marcus Haislip,1547280,208.0,Tennessee
Marcus Landry,457588,201.0,Wisconsin
Marcus Liberty,650000,203.0,Illinois
Marcus Smart,4538020,193.0,Texas
Marcus Thornton,8575000,193.0,Louisiana
Marcus Webb,140000,206.0,Alabama
Marcus Williams,1180200,185.0,Mississippi
Mardy Collins,1867742,198.0,Pennsylvania
Mario Bennett,630000,198.0,Texas
Mario Chalmers,4300000,188.0,Alaska
Mario Elie,1925000,196.0,New York
Mario Hezonja,4078320,203.0,Croatia
Mario Kasun,919551,216.0,Croatia
Mario West,711517,208.0,Virginia
Mark Acres,547000,211.0,California
Mark Aguirre,1471000,198.0,Illinois
Mark Alarie,550000,203.0,Arizona
Mark Blount,7962500,213.0,New York
Mark Bradtke,247500,208.0,Australia
Mark Bryant,2250000,206.0,New Jersey
Mark Davis,326700,198.0,Virginia
Mark Eaton,2000000,224.0,California
Mark Hendrickson,425000,206.0,Washington
Mark Jackson,3860000,185.0,New York
Mark Macon,1767000,196.0,Michigan
Mark Madsen,2840000,206.0,California
Mark Pope,751179,208.0,Nebraska
Mark Price,5488000,183.0,Oklahoma
Mark Randall,1200000,203.0,Minnesota
Mark Strickland,2400000,206.0,Georgia
Mark West,2000000,208.0,Virginia
Markel Brown,845059,190.0,Arkansas
Marko Jaric,7625000,201.0,Serbia
Marko Milic,350000,198.0,Slovenia
Marlon Garnett,287500,188.0,California
Marlon Maxey,375000,203.0,Illinois
Marques Bragg,225000,203.0,New Jersey
Marquese Chriss,3073800,208.0,California
Marquis Daniels,6864200,198.0,Florida
Marquis Teague,1120920,188.0,Indiana
Marreese Speights,4200000,208.0,Florida
Marshall Plumlee,543471,211.0,Indiana
Martell Webster,5613500,216.0,Maryland
Martin Lewis,200000,196.0,Kansas
Martin Muursepp,763200,206.0,Estonia
Marty Conlon,1200000,208.0,New York
Martynas Andriuskevicius,664209,218.0,Lithuania
Marvin Williams,13168750,185.0,Mississippi
Mason Plumlee,14041096,211.0,Indiana
Mateen Cleaves,1441440,188.0,Michigan
Matt Barnes,6125000,203.0,Rhode Island
Matt Bonner,3945000,208.0,New Hampshire
Matt Bullard,2100000,208.0,Iowa
Matt Carroll,5050000,198.0,Pennsylvania
Matt Fish,247500,211.0,Iowa
Matt Freije,352388,208.0,Kansas
Matt Geiger,8142160,213.0,Massachusetts
Matt Harpring,6500000,201.0,Ohio
Matt Maloney,3237500,190.0,Maryland
Matt Othick,13000,188.0,New Mexico
Matt Walsh,38904,198.0,Pennsylvania
Matt Wenstrom,150000,216.0,Minnesota
Matthew Dellavedova,9607500,193.0,Australia
Maurice Ager,1042440,196.0,Michigan
Maurice Cheeks,1000000,185.0,Illinois
Maurice Evans,2500000,196.0,Kansas
Maurice Harkless,10162922,206.0,New York
Maurice Ndour,543471,206.0,Senegal
Maurice Taylor,9100000,206.0,Michigan
Mehmet Okur,10890000,211.0,Turkey
Melvin Ely,3303813,208.0,Illinois
Mengke Bateer,636679,211.0,China
Meyers Leonard,9904495,216.0,Virginia
Michael Adams,1309000,178.0,Connecticut
Michael Ansley,200000,201.0,Alabama
Michael Beasley,6262347,206.0,Maryland
Michael Bradley,1292040,208.0,Massachusetts
Michael Cage,2350000,206.0,Arkansas
Michael Carter-Williams,3183526,198.0,Massachusetts
Michael Curry,2800000,196.0,Alabama
Michael Dickerson,6187500,196.0,South Carolina
Michael Doleac,3120000,211.0,Texas
Michael Finley,18593750,201.0,Illinois
Michael Gbinije,650000,201.0,Connecticut
Michael Hawkins,423500,183.0,Ohio
Michael Kidd-Gilchrist,13000000,201.0,Pennsylvania
Michael Olowokandi,6061213,213.0,Nigeria
Michael Redd,18300000,198.0,Ohio
Michael Ruffin,1803600,206.0,Colorado
Michael Smith,2400000,208.0,New York
Michael Stewart,4800000,208.0,France
Micheal Williams,2775000,188.0,Washington
Mickael Gelabale,802000,201.0,Guadeloupe
Mickael Pietrus,5300000,198.0,Guadeloupe
Mickell Gladness,248263,211.0,Alabama
Mike Batiste,349458,203.0,California
Mike Bibby,14983603,185.0,New Jersey
Mike Brown,1375000,206.0,New Jersey
Mike Conley,28530608,185.0,Arkansas
Mike Dunleavy,10561984,190.0,New York
Mike Gminski,1850000,211.0,Connecticut
Mike Hall,135895,203.0,Illinois
Mike Harris,64978,198.0,Texas
Mike Holton,400000,193.0,Washington
Mike Iuzzolino,241000,178.0,Pennsylvania
Mike James,6466600,188.0,New York
Mike Miller,9750000,203.0,South Dakota
Mike Muscala,5000000,211.0,Minnesota
Mike Penberthy,316969,190.0,California
Mike Peplowski,247500,208.0,Michigan
Mike Sanders,1100000,198.0,Louisiana
Mike Scott,3333334,203.0,Virginia
Mike Smith,316969,208.0,New York
Mike Smrek,325000,213.0,Canada
Mike Sweetney,2696956,203.0,Maryland
Mike Taylor,500000,188.0,Illinois
Mike Tobey,138938,213.0,New York
Mike Wilks,998398,178.0,Wisconsin
Mike Woodson,658000,196.0,Indiana
Mikki Moore,5632200,211.0,South Carolina
Mile Ilic,864000,216.0,Bosnia and Herzegovina
Miles Plumlee,12500000,211.0,Indiana
Miles Simon,287500,190.0,Sweden
Milos Babic,200000,213.0,Serbia
Milt Palacio,1400000,190.0,California
