Player,MP,WS,WS/48,BPM
Robert Parish*,2459,10.8,0.211,4.3
Robert Smith,68,0.0,-0.04,-9.4
Rod Higgins,2196,3.8,0.083,-0.4
Roger Phegley,599,0.8,0.063,-2.2
Rolando Blackman,2349,5.7,0.116,0.4
Ron Brewer,1964,1.5,0.065,-5.1
Ronnie Lester,1437,1.7,0.057,-1.4
Rory Sparrow,2428,4.2,0.166,-1.3
Rory White,626,1.5,0.118,-1.1
Rudy Macklin,1171,1.8,0.073,-2.7
Russ Schoene,1222,1.7,0.123,-7.2
Sam Lacey,1232,-0.1,-0.004,-3.9
Sam Pellom,29,0.0,-0.148,-9.7
Sam Williams,1533,3.7,0.117,-0.5
Scott Hastings,140,0.1,0.03,-10.2
Scott Lloyd,206,0.3,0.068,-1.0
Scott May,155,0.1,0.045,-3.4
Scott Wedman,1793,2.2,0.119,-4.8
Sidney Moncrief*,2710,13.2,0.233,5.4
Sleepy Floyd,1248,2.2,0.169,-2.0
Sly Williams,1385,3.8,0.132,2.2
Spencer Haywood*,775,0.4,0.025,-4.6
Steve Hawes,1416,1.0,0.085,-6.7
Steve Hayes,1058,1.2,0.055,-3.8
Steve Johnson,1544,4.4,0.137,0.5
Steve Lingenfelter,53,0.0,0.009,-4.3
Steve Mix,809,2.4,0.229,-3.2
Swen Nater,51,-0.1,-0.053,-5.0
T.R. Dunn,2640,4.4,0.079,0.1
Terry Cummings,2531,8.7,0.164,3.0
Terry Duerod,49,-0.2,-0.149,-5.0
Terry Teagle,1708,-0.8,-0.022,-4.2
Terry Tyler,2543,5.8,0.11,1.6
Tiny Archibald*,1811,2.9,0.077,-2.0
Tom Chambers,2665,4.3,0.077,-1.6
Tom Henderson,789,0.4,0.022,-2.6
Tom McMillen,1364,2.0,0.071,-2.4
Tom Owens,725,0.6,0.041,-4.2
Tracy Jackson,1309,1.7,0.062,-1.2
Tree Rollins,2472,7.3,0.142,2.7
Trent Tucker,1830,4.0,0.104,-0.4
Truck Robinson,2426,3.3,0.065,-1.9
Vince Taylor,321,0.1,0.009,-3.2
Vinnie Johnson,2511,7.7,0.147,2.1
Walker Russell,757,-0.8,-0.054,-6.7
Wally Walker,2251,0.1,0.002,-3.6
Walter Davis,2491,8.1,0.156,2.3
Wayne Cooper,2099,2.9,0.067,-2.6
Wes Matthews,1187,0.7,0.028,-2.0
World B. Free,2638,5.7,0.19,0.3
