Player,MP,WS,WS/48,BPM
Karl Malone*,3302,15.5,0.225,5.4
Keith Askins,266,0.6,0.10300000000000001,-0.2
Kelly Tripucka,1289,2.0,0.076,-1.0
Kelvin Upshaw,514,1.0,0.094,-0.1
Ken Bannister,339,0.2,0.027999999999999997,-6.9
Ken Norman,2309,4.8,0.1,0.5
Kendall Gill,1944,1.8,0.044000000000000004,0.7
Kennard Winchester,607,0.5,0.038,-4.1
Kenny Gattison,1552,3.0,0.092,-2.2
Kenny Payne,444,-0.3,-0.037000000000000005,-7.2
Kenny Smith,2699,9.0,0.161,2.9
Kenny Walker,771,1.3,0.08199999999999999,-3.4
Kenny Williams,527,0.7,0.068,-2.5
Kevin Duckworth,2511,4.3,0.08199999999999999,-3.3
Kevin Edwards,2000,1.6,0.039,-0.2
Kevin Gamble,2706,8.3,0.147,1.2
Kevin Johnson,2772,12.7,0.22,6.6
Kevin McHale*,2067,7.9,0.182,3.1
Kevin Pritchard,773,-0.2,-0.012,-5.0
Kevin Willis,2373,4.4,0.08900000000000001,-1.8
Kiki Vandeweghe,2420,5.7,0.11199999999999999,-0.8
Kurk Lee,265,-0.1,-0.013000000000000001,-6.3
Kurt Rambis,900,2.2,0.115,-0.3
LaSalle Thompson,1946,1.2,0.03,-2.7
Lance Blanks,214,0.1,0.027000000000000003,-4.1
Larry Bird*,2277,6.6,0.14,4.6
Larry Drew,496,0.5,0.048,-1.9
Larry Nance,2927,9.8,0.16,3.6
Larry Smith,1923,4.4,0.109,-1.0
Ledell Eackles,1616,1.2,0.035,-3.3
Leon Wood,222,0.6,0.11900000000000001,0.6
Les Jepsen,105,0.0,0.01,-9.2
Lionel Simmons,2978,2.7,0.044000000000000004,-0.4
Loy Vaught,1178,2.2,0.091,-2.9
Magic Johnson*,2933,15.4,0.251,9.0
Mahmoud Abdul-Rauf,1505,-1.0,-0.031,-5.0
Manute Bol,1522,1.3,0.042,-1.0
Marcus Liberty,1171,-0.1,-0.004,-4.5
Mark Acres,1313,2.5,0.09,-3.0
Mark Aguirre,2006,5.5,0.132,1.4
Mark Alarie,587,0.6,0.05,-3.8
Mark Bryant,781,2.1,0.129,-2.4
Mark Eaton,2580,5.5,0.10300000000000001,-0.6
Mark Jackson,1595,4.2,0.126,2.5
Mark McNamara,13,0.0,-0.019,-7.4
Mark Price,571,2.0,0.16699999999999998,5.6
Mark West,1957,6.5,0.16,1.0
Matt Bullard,63,0.2,0.147,-2.0
Maurice Cheeks*,2147,5.2,0.11699999999999999,1.3
Michael Adams,2346,6.3,0.128,5.3
Michael Ansley,877,3.1,0.168,-0.2
Michael Cage,2141,4.3,0.09699999999999999,-0.2
Michael Jordan*,3034,20.3,0.321,12.0
Michael Smith,389,0.3,0.042,-3.7
Micheal Williams,1706,5.7,0.161,3.2
Mike Brown,1391,2.4,0.083,-3.1
Mike Higgins,61,0.0,0.017,-8.0
Mike Sanders,1357,0.1,0.003,-4.9
Miloš Babi?,52,-0.1,-0.085,-11.0
Milt Wagner,116,0.0,0.016,-2.2
Mitch Richmond*,3027,7.1,0.113,1.0
Mookie Blaylock,2585,2.1,0.04,-0.7
Morlon Wiley,350,0.1,0.015,-2.2
Moses Malone*,1912,5.6,0.14,-0.5
Muggsy Bogues,2299,4.8,0.1,1.2
Mychal Thompson,1077,2.1,0.091,-2.2
Nate McMillan,1434,2.8,0.09300000000000001,2.4
Negele Knight,792,0.6,0.037000000000000005,-2.7
Nick Anderson,1971,3.1,0.075,0.3
Orlando Woolridge,1823,3.9,0.102,0.3
Otis Smith,1885,3.5,0.09,1.3
Otis Thorpe,3039,10.4,0.16399999999999998,1.2
Pat Cummings,26,0.1,0.20800000000000002,-3.2
Patrick Ewing*,3104,10.0,0.155,4.2
Paul Mokeski,257,0.3,0.055999999999999994,-5.0
Paul Pressey,1683,3.2,0.09,-0.1
Pervis Ellison,1942,4.0,0.1,-0.6
Pete Myers,103,0.0,-0.002,-4.5
Pooh Richardson,3154,5.9,0.08900000000000001,2.0
Quintin Dailey,299,0.3,0.054000000000000006,-2.8
Ralph Sampson*,348,-0.3,-0.038,-6.5
Randolph Keys,473,-0.2,-0.018000000000000002,-5.8
Randy Breuer,1505,1.0,0.031,-2.4
Randy White,1901,0.7,0.018000000000000002,-5.2
Randy Wittman,355,0.0,0.006,-3.0
Reggie Lewis,2878,7.5,0.124,0.7
Reggie Miller*,2972,12.5,0.20199999999999999,4.2
Reggie Theus,2955,4.7,0.076,-1.1
Rex Chapman,2100,3.0,0.069,-0.5
Richard Coffey,320,0.2,0.037000000000000005,-7.0
Rick Calloway,678,-0.3,-0.025,-6.6
Rick Mahorn,2439,4.4,0.086,-1.7
Rickey Green,2248,3.3,0.07,-2.0
Rik Smits,1690,2.9,0.081,-2.1
Robert Parish*,2441,10.0,0.198,2.2
Robert Reid,37,-0.2,-0.235,-11.9
Rod Higgins,2024,5.3,0.127,0.7
Rod Strickland,2076,5.7,0.132,2.4
Rodney McCray,2561,5.3,0.1,1.0
Rolando Blackman,2965,5.5,0.08900000000000001,0.0
Ron Anderson,2340,4.1,0.085,-1.6
Ron Harper,1383,0.9,0.03,1.0
Rony Seikaly,2171,3.0,0.067,-1.7
Rory Sparrow,2375,2.8,0.057,-1.5
Roy Hinson,91,0.1,0.036000000000000004,-4.6
Roy Tarpley,171,0.6,0.165,3.6
Rumeal Robinson,674,-0.1,-0.004,-3.0
Sam Bowie,1916,2.6,0.066,-0.8
Sam Mitchell,3121,5.1,0.078,-3.2
Sam Perkins,2504,8.0,0.153,0.9
Sam Vincent,975,0.9,0.043,-1.8
Scott Brooks,980,2.6,0.127,2.2
Scott Haffner,50,-0.1,-0.057999999999999996,-4.1
Scott Hastings,113,0.5,0.21600000000000003,0.9
Scott Meents,53,-0.1,-0.11699999999999999,-1.4
Scott Skiles,2714,7.0,0.124,1.9
Scott Williams,337,0.9,0.129,-2.7
Scottie Pippen*,3014,11.2,0.179,5.8
Sean Elliott,3044,8.8,0.138,0.8
Sean Higgins,464,0.0,0.0,-6.5
Sedale Threatt,2066,4.6,0.106,0.3
Shawn Kemp,2442,6.1,0.121,0.0
Sherman Douglas,2562,5.4,0.1,1.8
Sidney Green,1099,1.9,0.085,-3.3
Sidney Moncrief*,1096,1.8,0.079,-0.7
Sleepy Floyd,1850,3.7,0.096,1.2
Spud Webb,2197,5.4,0.11800000000000001,1.1
Stacey King,1198,1.5,0.059000000000000004,-3.6
Steve Alford,236,0.6,0.121,2.1
Steve Colter,251,0.3,0.051,-2.4
Steve Henson,690,1.2,0.085,-1.6
Steve Johnson,228,0.2,0.034,-4.5
Steve Kerr,905,1.3,0.071,-1.8
Steve Scheffler,227,0.6,0.132,-1.1
